"date","Nagaland/Dimapur","Nagaland/Kiphire","Nagaland/Kohima","Nagaland/Longleng","Nagaland/Mokokchung","Nagaland/Mon","Nagaland/Others","Nagaland/Peren","Nagaland/Phek","Nagaland/Tuensang","Nagaland/Wokha","Nagaland/Zunheboto"
"2020-08-23","  2.86 %","","   .00 %","","   .00 %","   .00 %","","","","   .00 %","","   .00 %"
"2020-08-24","  2.86 %","","   .00 %","   .00 %","","","","","","","","   .00 %"
"2020-08-25","  2.86 %","","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","","","   .00 %","   .00 %"
"2020-08-26","  2.86 %","","   .00 %","","   .00 %","","","","","","",""
"2020-08-27","   .00 %","","   .00 %","","","   .00 %","","","","   .00 %","",""
"2020-08-28","   .00 %","","   .00 %","","","   .00 %","","","","","   .00 %","   .00 %"
"2020-08-29","   .00 %","","   .00 %","","","   .00 %","","","   .00 %","   .00 %","   .00 %",""
"2020-08-30","   .00 %","","   .00 %","","   .00 %","   .00 %","","","","   .00 %","","   .00 %"
"2020-08-31","   .00 %","","   .00 %","","   .00 %","","","","","","",""
"2020-09-01","   .00 %","","   .00 %","","","   .00 %","","","","   .00 %","",""
"2020-09-02","   .00 %","","   .00 %","","   .00 %","","","   .00 %","","   .00 %","   .00 %","   .00 %"
"2020-09-03","   .00 %","","   .00 %","   .00 %","","   .00 %","","","","","","   .00 %"
"2020-09-04","   .00 %","","   .00 %","","","","","","   .00 %","","   .00 %","   .00 %"
"2020-09-05","   .00 %","","   .00 %","","   .00 %","   .00 %","","","","","",""
"2020-09-06","   .00 %","","   .00 %","","","   .00 %","","","","","",""
"2020-09-07","   .00 %","","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","","   .00 %","   .00 %",""
"2020-09-08","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %","","","","","",""
"2020-09-09","   .00 %","","   .00 %","","   .00 %","   .00 %","","","","","",""
"2020-09-10","   .00 %","","   .00 %","","   .00 %","","","","","","","   .00 %"
"2020-09-11","   .00 %","","   .00 %","","   .00 %","   .00 %","","   .00 %","","","   .00 %","   .00 %"
"2020-09-12","   .00 %","","   .00 %","","","   .00 %","","   .00 %","   .00 %","","",""
"2020-09-13","   .00 %","","   .00 %","","   .00 %","","","","","   .00 %","   .00 %",""
"2020-09-14","   .00 %","   .00 %","   .00 %","","","   .00 %","","","","","",""
"2020-09-15","  2.50 %","","   .00 %","","   .00 %","   .00 %","","","","   .00 %","",""
"2020-09-16","  2.50 %","","   .00 %","","   .00 %","   .00 %","","","   .00 %","","",""
"2020-09-17","  2.50 %","","   .00 %","","","   .00 %","","","","","","   .00 %"
"2020-09-18","  2.50 %","","   .00 %","","   .00 %","   .00 %","","   .00 %","","   .00 %","",""
"2020-09-19","  2.50 %","","   .00 %","","","   .00 %","","","","   .00 %","","   .00 %"
"2020-09-20","   .00 %","","   .00 %","","","   .00 %","","","","   .00 %","",""
"2020-09-21","   .00 %","","   .00 %","   .00 %","","","","","   .00 %","   .00 %","",""
"2020-09-22","   .00 %","","   .00 %","","","   .00 %","","","","   .00 %","",""
"2020-09-23","   .00 %","","   .00 %","",""," 20.00 %","","","","   .00 %","   .00 %",""
"2020-09-24","   .00 %","","   .00 %","",""," 20.00 %","","","","   .00 %","","   .00 %"
"2020-09-25","   .00 %","   .00 %","   .00 %","",""," 20.00 %","","   .00 %","","","   .00 %",""
"2020-09-26","   .00 %","","   .00 %","","   .00 %"," 20.00 %","","","   .00 %","","",""
"2020-09-27","   .00 %","","   .00 %","   .00 %","   .00 %"," 20.00 %","","","","   .00 %","",""
"2020-09-28","  2.22 %","","   .00 %","","","   .00 %","","","","   .00 %","",""
"2020-09-29","  2.22 %","","   .00 %","","   .00 %","   .00 %","","","","","",""
"2020-09-30","  2.22 %","","   .00 %","","","   .00 %","","","","   .00 %","",""
"2020-10-01","  2.22 %","","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","","","",""
"2020-10-02","  2.22 %","","   .00 %","","   .00 %","   .00 %","","","","   .00 %","","   .00 %"
"2020-10-03","   .00 %","","   .00 %","","","","","","","","",""
"2020-10-04","   .00 %","","   .00 %","   .00 %","   .00 %","   .00 %","","","","   .00 %","",""
"2020-10-05","   .00 %","","   .00 %","","","   .00 %","","","","","",""
"2020-10-06","   .00 %","","   .00 %","","   .00 %","   .00 %","","   .00 %","","","",""
"2020-10-07","   .00 %","","   .00 %","","   .00 %","   .00 %","","   .00 %","   .00 %","","   .00 %","   .00 %"
"2020-10-08","   .00 %","","   .00 %","","","   .00 %","","   .00 %","","","",""
"2020-10-09","   .00 %","","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","","   .00 %","",""
"2020-10-10","   .00 %","","   .00 %","   .00 %","   .00 %","","","   .00 %","","   .00 %","",""
"2020-10-11","   .00 %","","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","","   .00 %","",""
"2020-10-12","   .00 %","","   .00 %","   .00 %","   .00 %","","","","","","",""
"2020-10-13","   .00 %","","   .00 %","","   .00 %","   .00 %","","","","","",""
"2020-10-14","  6.00 %","","   .00 %","","","   .00 %","","   .00 %","","   .00 %","","   .00 %"
"2020-10-15","  6.00 %","","   .00 %","","   .00 %","   .00 %","","   .00 %","","   .00 %","","   .00 %"
"2020-10-16","  6.00 %","","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","","   .00 %","",""
"2020-10-17"," 12.15 %","","   .00 %","","   .00 %","   .00 %","","   .00 %","","","","   .00 %"
"2020-10-18"," 12.15 %","","   .00 %","   .00 %","","   .00 %","","   .00 %","","","",""
"2020-10-19","  6.15 %","   .00 %","   .00 %","","","   .00 %","","","","   .00 %","",""
"2020-10-20","  6.15 %","","   .00 %","","","   .00 %","","","","   .00 %","",""
"2020-10-21","  6.15 %","","   .00 %","","","   .00 %","","   .00 %","   .00 %","","",""
"2020-10-22","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %","","   .00 %","","","",""
"2020-10-23","   .00 %","","   .00 %","   .00 %","   .00 %","","","","","   .00 %","   .00 %","   .00 %"
"2020-10-24","   .00 %","   .00 %","   .00 %","","","   .00 %","","","","   .00 %","","   .00 %"
"2020-10-25","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %","","   .00 %","","   .00 %","   .00 %",""
"2020-10-26","  2.35 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-10-27","  8.67 %","   .00 %"," ##.## %","   .00 %","","   .00 %","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-10-28","  9.47 %","   .00 %"," ##.## %","","   .00 %","   .00 %","","","","   .00 %","   .00 %","   .00 %"
"2020-10-29","  9.47 %",""," ##.## %","   .00 %","","   .00 %","","   .00 %","","","","   .00 %"
"2020-10-30"," 12.55 %",""," ##.## %","","   .00 %","   .00 %","","   .00 %","","   .00 %","","   .00 %"
"2020-10-31"," 10.19 %","   .00 %"," ##.## %","","","   .00 %","","","","","",""
"2020-11-01","  3.88 %","","  2.86 %","   .00 %","","   .00 %","","   .00 %","","","",""
"2020-11-02","  5.08 %","","  2.86 %","","   .00 %","   .00 %","","","","","",""
"2020-11-03","  5.08 %","   .00 %","   .00 %","","","   .00 %","","   .00 %","","","",""
"2020-11-04","  2.00 %","","  5.00 %","","   .00 %","   .00 %","","","   .00 %","   .00 %","",""
"2020-11-05","  2.00 %","","  7.00 %","","   .00 %","   .00 %","","   .00 %","","","","   .00 %"
"2020-11-06","  2.00 %","   .00 %","  7.00 %","","   .00 %","   .00 %","","   .00 %","","","   .00 %","   .00 %"
"2020-11-07","   .00 %","","  7.00 %","","","   .00 %","","   .00 %","","","","   .00 %"
"2020-11-08","   .00 %","","  7.00 %","","   .00 %","   .00 %","","   .00 %","","   .00 %","",""
"2020-11-09","   .00 %","   .00 %","  2.00 %","","","","","   .00 %","","   .00 %","",""
"2020-11-10","   .00 %","","  7.27 %","","   .00 %","   .00 %","","   .00 %","","","   .00 %",""
"2020-11-11","   .00 %","   .00 %","  7.27 %","","   .00 %","   .00 %","","   .00 %","","   .00 %","","   .00 %"
"2020-11-12","   .00 %","","  7.27 %","","","   .00 %","","","   .00 %","   .00 %","",""
"2020-11-13","   .61 %","","  8.61 %","","","   .00 %","","","   .00 %","","",""
"2020-11-14","   .61 %","","  8.61 %","","","   .00 %","","","","","",""
"2020-11-15","   .61 %","   .00 %","  1.33 %","","","   .00 %","","","","   .00 %","",""
"2020-11-16","   .61 %","","  2.58 %","","","   .00 %","","","","","",""
"2020-11-17","   .61 %","","  2.58 %","","","   .00 %","","   .00 %","   .00 %","   .00 %","",""
"2020-11-18","   .00 %","","  2.43 %","","","","","   .00 %","","   .00 %","",""
"2020-11-19","   .00 %","   .00 %","  2.43 %","","","   .00 %","","   .00 %","   .00 %","","",""
"2020-11-20","   .59 %","","  3.54 %","","   .00 %","   .00 %","","","","   .00 %","",""
"2020-11-21","   .59 %","","  3.34 %","","","","","   .00 %","","   .00 %","",""
"2020-11-22","  1.16 %","","  4.34 %","","","","","","","","","   .00 %"
"2020-11-23","  1.72 %","   .00 %","  3.16 %","","","   .00 %","","   .00 %","","   .00 %","",""
"2020-11-24","  1.72 %","","  3.16 %","","   .00 %","   .00 %","","   .00 %","","","",""
"2020-11-25","  1.13 %","","  2.05 %","","","   .00 %","","   .00 %","","","","   .00 %"
"2020-11-26","  2.21 %","","  1.00 %","","","   .00 %","","   .00 %","   .00 %","   .00 %","",""
"2020-11-27","  1.64 %","","   .95 %","","","   .00 %","","   .00 %","   .00 %","   .00 %","",""
"2020-11-28","  1.08 %","","   .95 %","","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %","",""
"2020-11-29","  1.08 %","","   .95 %","","","","","","   .00 %","   .00 %","",""
"2020-11-30","  1.08 %","","   .95 %","","   .00 %","   .00 %","","   .00 %","","","",""
"2020-12-01","   .00 %","   .00 %","","","","","","   .00 %","","","",""
"2020-12-26","   .51 %","","   .95 %","","","","","   .00 %","","","",""
"2020-12-27","   .51 %","","   .00 %","","","   .00 %","","","","","",""
"2020-12-28","   .51 %","   .00 %","   .00 %",""," 20.00 %","","","   .00 %","","   .00 %","",""
"2020-12-29","   .51 %","","   .00 %","","","","","","","","",""
"2020-12-30","   .51 %","","   .00 %",""," 20.00 %","   .00 %","","   .00 %","","","",""
"2020-12-31","   .00 %","","   .00 %",""," 20.00 %","","","","","","",""
"2021-01-01","   .00 %","   .00 %","   .00 %","   .00 %"," 20.00 %","","","","","","",""
"2021-01-02","   .00 %","   .00 %","","","","","","","","","",""
"2021-01-03","   .00 %","","   .00 %",""," 20.00 %","","","","   .00 %","","",""
"2021-01-04","   .00 %","","   .00 %","","","   .00 %","","","","","",""
"2021-01-05","   .00 %","","   .00 %","","   .00 %","","","   .00 %","","","",""
"2021-01-06","   .00 %","","   .00 %","   .00 %"," 10.00 %","","","","","","",""
"2021-01-07","  1.00 %","","   .00 %","","","","","   .00 %","","","",""
"2021-01-08","  1.48 %","","",""," 10.00 %","","","   .00 %","","","",""
"2021-01-09","  1.94 %","","   .00 %",""," 10.00 %","","","","","","",""
"2021-01-10","  1.94 %","","   .00 %",""," 10.00 %","","","","","","",""
"2021-01-11","  1.94 %","","   .00 %",""," 10.00 %","","","   .00 %","","","",""
"2021-01-12","   .94 %","   .00 %","   .00 %","","   .00 %","","","","","","",""
"2021-01-13","  1.37 %","","   .00 %","","   .00 %","   .00 %","","","","","",""
"2021-01-14","   .91 %","","   .00 %","","   .00 %","","","","","","",""
"2021-01-15","  1.78 %","","   .00 %","","","   .00 %","","","","","",""
"2021-01-16","  1.78 %","","   .00 %","   .00 %","   .00 %","","","","","","",""
"2021-01-17","  1.78 %","","   .00 %","","   .00 %","","","","","   .00 %","",""
"2021-01-18","   .87 %","","   .00 %","","   .00 %","","","   .00 %","","","",""
"2021-01-19","   .87 %","","   .00 %","","","","","","","","",""
"2021-01-20","   .00 %","","   .00 %","","","","","   .00 %","","","",""
"2021-01-21","   .00 %","","   .00 %","","","","","","","","",""
"2021-01-22","   .00 %","","   .00 %","","","","","","","","",""
"2021-01-23","   .00 %","","","","   .00 %","","","","","","",""
"2021-01-24","","","   .00 %","","","","","","","","",""
"2021-01-25","   .00 %","","   .00 %","","   .00 %","   .00 %","","   .00 %","","   .00 %","",""
"2021-01-26","   .00 %","","   .00 %","","","","","","","   .00 %","",""
"2021-01-27","   .00 %","","   .00 %","","","","","","","","",""
"2021-01-28","   .00 %","","","","   .00 %","","","   .00 %","","","",""
"2021-01-29","   .00 %","","   .00 %","","","","","","","","",""
"2021-01-30","","","   .00 %","","   .00 %","","","","","","",""
"2021-01-31","","","   .00 %","","","","","","","","",""
"2021-02-01","","","   .00 %","","","","","","","   .00 %","",""
"2021-02-02","   .00 %","","","","","","","","","","",""
"2021-02-03","   .00 %","","   .00 %","","","","","","","","",""
"2021-02-04","   .00 %","","   .00 %","","   .00 %","","","","","","",""
"2021-02-05","   .00 %","","   .00 %","","","","","","","","",""
"2021-02-06","   .00 %","","   .00 %","","","","","","","","",""
"2021-02-07","","","   .00 %","","","","","","","","",""
"2021-02-08","   .00 %","","   .00 %","","","","","","","   .00 %","",""
"2021-02-09","   .00 %","","   .00 %","","","","","","","","",""
"2021-02-10","   .00 %","","   .00 %","","","","","","","","",""
"2021-02-11","   .00 %","","   .00 %","","","","","","","","",""
"2021-02-12","   .00 %","","   .00 %","","","","","   .00 %","","","",""
"2021-02-13","","","   .00 %","","","","","","","","",""
"2021-02-14","","","   .00 %","","","","","","","","",""
