"date","Nagaland/Dimapur","Nagaland/Kiphire","Nagaland/Kohima","Nagaland/Longleng","Nagaland/Mokokchung","Nagaland/Mon","Nagaland/Others","Nagaland/Peren","Nagaland/Phek","Nagaland/Tuensang","Nagaland/Wokha","Nagaland/Zunheboto"
"2020-06-27","  6.67 %",""," 48.28 %"," ##.## %",""," 25.00 %","","   .62 %","","","",""
"2020-06-28"," 31.25 %","","  6.98 %","","","  5.00 %","","  1.23 %","","","",""
"2020-06-29","","","","","",""," 81.82 %","   .61 %","","","",""
"2020-06-30","  1.19 %","","","","   .00 %",""," 15.00 %","",""," ##.## %","",""
"2020-07-01","  1.18 %","","  4.35 %","","","",""," 18.79 %"," ##.## %","","",""
"2020-07-02","  1.16 %","","  2.08 %","","","",""," 16.33 %","","","",""
"2020-07-03","   .00 %","","   .00 %","","","  4.76 %","","   .44 %","   .00 %","","",""
"2020-07-04","","","  4.08 %","","","","","  9.17 %","","","",""
"2020-07-05"," 13.79 %","","  1.96 %",""," ##.## %","  1.52 %","","  4.00 %","","  6.67 %",""," 20.00 %"
"2020-07-06"," 15.15 %","","","",""," 29.85 %","","","","","",""
"2020-07-07","","","  1.92 %","",""," 11.49 %","","",""," 25.00 %","",""
"2020-07-08","  7.89 %","","  1.89 %",""," 50.00 %","  1.03 %","","","","  2.50 %","",""
"2020-07-09","","","","","","","","  5.00 %"," 30.00 %","","",""
"2020-07-10"," 14.63 %",""," 37.04 %","","","","","  6.96 %","  7.69 %",""," 10.00 %",""
"2020-07-11","","","  9.46 %",""," 33.33 %","  3.06 %","","",""," 12.20 %","",""
"2020-07-12"," 12.77 %","","  1.23 %","","","","","   .00 %"," 28.57 %","  6.52 %","",""
"2020-07-13"," 37.74 %","","  4.88 %","","","  6.93 %","","","","","",""
"2020-07-14","  1.37 %",""," 27.91 %"," ##.## %"," 25.00 %","","","  6.85 %","","",""," 16.67 %"
"2020-07-15","  2.70 %","","   .00 %","","","","","","","","",""
"2020-07-16","  5.26 %","","  1.82 %","","","","","   .00 %","","","",""
"2020-07-17"," 16.25 %","","","","","","","   .32 %","","","",""
"2020-07-18","  2.87 %","","  2.68 %","","","","","  3.51 %","","","",""
"2020-07-19","   .35 %","","  5.22 %"," 25.00 %"," 40.00 %","","","","","","",""
"2020-07-20","  5.56 %","","  4.13 %","",""," 11.11 %","","","","","",""
"2020-07-21","  1.97 %","","","","","  1.67 %","","   .31 %","","","",""
"2020-07-22","  7.42 %",""," 15.08 %",""," 28.57 %","  1.64 %","","   .31 %","","",""," ##.## %"
"2020-07-23","  7.81 %","   .00 %"," 42.07 %","   .00 %","   .00 %","   .00 %","   .00 %","   .61 %","  5.56 %","   .00 %","   .00 %","   .00 %"
"2020-07-24"," 11.42 %",""," 10.19 %","","","","","   .61 %","","  2.04 %","",""
"2020-07-25","  4.75 %","","  3.08 %",""," 44.44 %"," 16.13 %","","   .00 %","   .00 %","   .00 %","",""
"2020-07-26","  2.15 %",""," 11.97 %","   .00 %","","  9.03 %","","","","","",""
"2020-07-27","  3.27 %","","  8.78 %","","   .00 %","  5.10 %","","   .30 %","","","   .00 %",""
"2020-07-28","   .68 %",""," 17.89 %","","","  1.82 %","","   .00 %"," 52.63 %","  2.00 %"," 63.64 %",""
"2020-07-29","  6.52 %","","  5.65 %","","","  2.98 %","","   .00 %","   .00 %","   .00 %","",""
"2020-07-30","  6.75 %","","  4.51 %","   .00 %"," 38.46 %","   .00 %","","","","","",""
"2020-07-31"," 18.97 %","","  8.36 %","","   .00 %","","","   .00 %","","","",""
"2020-08-01"," 19.44 %","","  5.22 %","","","","","   .00 %","","","","   .00 %"
"2020-08-02","  8.62 %","","  4.02 %","","","   .58 %","","","  3.45 %",""," 27.78 %"," ##.## %"
"2020-08-03"," 17.41 %","","  5.00 %","","","","","","","",""," ##.## %"
"2020-08-04"," 20.39 %","","","",""," 51.15 %","","","   .00 %","","",""
"2020-08-05","  7.97 %","","   .00 %","","   .00 %","  1.90 %","","   .00 %","","","","   .00 %"
"2020-08-06","  4.87 %","","  5.84 %","","   .00 %"," -1.87 %","","","  6.67 %","   .00 %","","   .00 %"
"2020-08-07","  5.92 %","","   .61 %","","","","","","","","","   .00 %"
"2020-08-08","   .76 %","","  2.44 %","","   .00 %","","","","   .00 %",""," 13.04 %","  8.82 %"
"2020-08-09","  4.65 %","","  3.97 %","","","   .76 %","","  2.42 %","   .00 %","","   .00 %","  1.35 %"
"2020-08-10","  7.45 %",""," 19.85 %","","","  6.79 %","","  1.18 %","","","   .00 %",""
"2020-08-11","   .60 %","","  1.59 %","","","","","","","  1.96 %","",""
"2020-08-12","  3.18 %","","  5.49 %","","   .00 %","   .00 %","","","","","  3.85 %","  4.00 %"
"2020-08-13","   .06 %","","  5.94 %","","","  1.41 %","","","","","","  6.41 %"
"2020-08-14","  3.72 %",""," 11.78 %","","   .00 %","   .35 %","","   .00 %","   .00 %","","  3.70 %"," 12.05 %"
"2020-08-15","   .00 %","","  2.01 %","","   .00 %","","","","","  1.92 %","  3.57 %",""
"2020-08-16","  1.30 %","","  3.20 %","","   .00 %","   .00 %","","","","","","  7.53 %"
"2020-08-17","  2.08 %","","  2.86 %","","  5.56 %","   .00 %","","","   .00 %","","","  2.00 %"
"2020-08-18","  1.38 %","","  4.75 %","","","   .35 %","","","","","","   .00 %"
"2020-08-19","  1.71 %"," 25.00 %","   .77 %","","","","","","","","  3.45 %",""
"2020-08-20","   .87 %","","   .99 %","","","   .35 %","","","","","","   .00 %"
"2020-08-21","   .58 %","","  1.85 %","","","","","   .58 %","","","","  6.86 %"
"2020-08-22","   .00 %","","  1.28 %"," 20.00 %","","","","   .00 %","","  3.77 %","  3.33 %",""
"2020-08-23","   .57 %","","  3.27 %","","  5.26 %","  1.72 %","","","","  3.64 %","","  1.83 %"
"2020-08-24","   .11 %","","  2.45 %"," 16.67 %","","","","","","","","   .90 %"
"2020-08-25","   .00 %","","  3.09 %","   .00 %","   .00 %","  1.02 %","","   .58 %","","","  6.45 %","   .00 %"
"2020-08-26","   .23 %","","  1.93 %",""," 10.00 %","","","","","","",""
"2020-08-27","   .23 %","","   .00 %","","","   .00 %","","","","  3.51 %","",""
"2020-08-28","   .40 %","","   .95 %","","","   .34 %","","","","","  3.03 %","  1.79 %"
"2020-08-29","   .00 %","","  4.13 %","","","   .33 %","","","  3.12 %","   .00 %","   .00 %",""
"2020-08-30","   .11 %","","  4.42 %",""," 22.73 %","   .00 %","","",""," 22.03 %","","  1.75 %"
"2020-08-31","   .79 %"," ##.## %","   .35 %","","   .00 %","","","","","","",""
"2020-09-01","   .50 %","","  2.67 %","","","  4.33 %","","","","   .00 %","",""
"2020-09-02","   .39 %","","   .42 %","","  3.70 %","","","   .00 %","","  1.39 %","   .00 %","   .00 %"
"2020-09-03","  1.33 %","","  2.00 %","   .00 %","","   .32 %","","","","","","   .00 %"
"2020-09-04","  1.26 %","","  1.39 %","","","","","","  3.03 %","","   .00 %","   .00 %"
"2020-09-05","   .43 %","","   .65 %","","  3.57 %","  1.27 %","","","","","",""
"2020-09-06","  2.26 %","","   .56 %","","","   .31 %","","","","","",""
"2020-09-07","  1.89 %","","   .48 %","   .00 %","   .00 %","   .00 %","","   .00 %","","   .00 %","   .00 %",""
"2020-09-08","   .00 %","  6.67 %","  1.67 %","","  3.45 %","   .63 %","","","","","",""
"2020-09-09","  3.25 %","","  5.00 %","","  3.33 %","   .62 %","","","","","",""
"2020-09-10","  9.84 %","","  4.39 %",""," 16.13 %","","","","","","","   .00 %"
"2020-09-11","  8.00 %","","  9.05 %","","  2.78 %","   .31 %","","   .29 %","","","  2.94 %","  2.59 %"
"2020-09-12","  4.76 %","","   .13 %","","","   .31 %","","   .57 %","   .00 %","","",""
"2020-09-13","   .64 %","","   .07 %","","  5.41 %","","","","","   .00 %","   .00 %",""
"2020-09-14","  2.40 %","   .00 %","  4.56 %","","","   .31 %","","","","","",""
"2020-09-15","   .27 %","","   .25 %","","  2.56 %","   .61 %","","","","  1.37 %","",""
"2020-09-16","  1.21 %","","   .06 %","","   .00 %","   .61 %","","","   .00 %","","",""
"2020-09-17","   .92 %","","  1.12 %","","","   .30 %","","","","","","   .00 %"
"2020-09-18","   .76 %","","  1.41 %",""," 10.00 %","   .60 %","","   .29 %","","  1.35 %","",""
"2020-09-19","   .87 %","","   .61 %","","","   .00 %","","","","   .00 %","","  1.68 %"
"2020-09-20","  1.69 %","","   .84 %","","","   .00 %","","","","   .00 %","",""
"2020-09-21","  2.84 %","","   .78 %"," 14.29 %","","","","","  2.94 %","  1.33 %","",""
"2020-09-22","  1.25 %","","  1.30 %","","","   .60 %","","","","  1.32 %","",""
"2020-09-23","   .18 %","","  3.39 %","","","   .60 %","","","","  2.60 %","   .00 %",""
"2020-09-24","  1.62 %","","   .45 %","","","   .30 %","","","","   .00 %","","  3.31 %"
"2020-09-25","   .83 %","   .00 %","   .68 %","","","   .30 %","","   .00 %","","","  2.86 %",""
"2020-09-26","  1.34 %","","  2.85 %","","  4.55 %","   .29 %","","","  2.86 %","","",""
"2020-09-27","  2.41 %","","   .49 %"," 37.50 %","   .00 %","   .29 %","","","","   .00 %","",""
"2020-09-28","   .03 %","","   .32 %","","","   .00 %","","","","  5.06 %","",""
"2020-09-29","  2.56 %","","   .32 %","","   .00 %","   .00 %","","","","","",""
"2020-09-30","  1.20 %","","   .86 %","",""," 19.94 %","","","","  2.41 %","",""
"2020-10-01","  1.82 %","","  1.07 %","  9.09 %","  4.35 %","   .24 %","","   .00 %","","","",""
"2020-10-02","   .88 %","","   .74 %","","  8.33 %","   .00 %","","",""," 32.94 %","","   .00 %"
"2020-10-03","  1.49 %","","  3.30 %","","","","","","","","",""
"2020-10-04","  2.27 %","","  2.43 %","  8.33 %","   .00 %","   .00 %","","","","   .00 %","",""
"2020-10-05","   .90 %","","   .20 %","","","  1.95 %","","","","","",""
"2020-10-06","   .92 %","","  1.43 %","","  3.85 %","   .48 %","","  1.14 %","","","",""
"2020-10-07","  1.09 %","","   .39 %","","  1.85 %","   .00 %","","  1.69 %","  2.78 %","","   .00 %","   .00 %"
"2020-10-08","   .06 %","","   .82 %","","","   .24 %","","   .28 %","","","",""
"2020-10-09","  3.87 %","","   .72 %","  7.69 %","  1.82 %","   .24 %","","   .28 %","","   .00 %","",""
"2020-10-10","   .34 %","","  2.05 %"," 14.29 %","  1.79 %","","","   .28 %","","  1.77 %","",""
"2020-10-11","  1.42 %","","   .61 %","  6.25 %","  1.75 %","   .24 %","","   .55 %","","   .87 %","",""
"2020-10-12","  4.57 %","","  2.42 %","   .00 %","  5.17 %","","","","","","",""
"2020-10-13","  1.74 %","","  1.68 %",""," 31.15 %","   .24 %","","","","","",""
"2020-10-14","   .26 %","","  1.12 %","","","  3.30 %","","   .55 %","","   .86 %","","   .80 %"
"2020-10-15","   .28 %","","  1.68 %","","  1.25 %","  1.14 %","","   .82 %",""," 12.82 %","","  2.38 %"
"2020-10-16","  1.65 %","","   .91 %","  5.88 %"," 24.69 %","   .68 %","","   .27 %","","  1.52 %","",""
"2020-10-17","  1.39 %","","   .99 %","","  1.98 %","  2.02 %","","   .54 %","","","","  2.33 %"
"2020-10-18","  2.32 %","","   .55 %","   .00 %","","  1.98 %","","   .80 %","","","",""
"2020-10-19","  2.78 %","  6.25 %","   .81 %","","","   .43 %","","","","   .75 %","",""
"2020-10-20","   .90 %","","   .55 %","","","  1.07 %","","","","  8.15 %","",""
"2020-10-21","  2.12 %","","   .84 %","","","  1.06 %","","  1.06 %","   .00 %","","",""
"2020-10-22","  2.74 %"," 11.76 %","  1.24 %","","  1.94 %","   .21 %","","   .79 %","","","",""
"2020-10-23","  2.65 %","","   .66 %","   .00 %","  1.90 %","","","","","   .68 %","  2.78 %","  1.52 %"
"2020-10-24","   .96 %","  5.26 %","   .94 %","","","   .42 %","","","","  3.40 %","","  2.99 %"
"2020-10-25","  1.08 %"," 30.00 %","  1.17 %","","   .93 %","  4.80 %","","   .26 %","","   .00 %","  2.70 %",""
"2020-10-26","   .17 %","-15.38 %","  1.12 %","-11.11 %","   .00 %","   .20 %","","-20.52 %"," -2.70 %"," -3.29 %","-26.32 %"," -1.45 %"
"2020-10-27","  2.97 %","   .00 %","  3.55 %","   .00 %",""," -3.58 %","","   .00 %","   .00 %","   .68 %","   .00 %","   .00 %"
"2020-10-28","  1.47 %","  4.55 %","   .50 %","","  2.78 %","  1.03 %","","","","  2.03 %","  3.57 %","   .74 %"
"2020-10-29","   .94 %","","   .72 %","  6.25 %","","   .61 %","","   .00 %","","","","   .73 %"
"2020-10-30","   .65 %","","   .60 %","","  1.80 %","   .00 %","","   .00 %","","   .66 %","","   .00 %"
"2020-10-31","  1.69 %","   .00 %","   .60 %","","","   .41 %","","","","","",""
"2020-11-01","   .44 %","","   .15 %","  5.88 %","","   .20 %","","   .00 %","","","",""
"2020-11-02","   .16 %","","   .45 %","","   .88 %","   .00 %","","","","","",""
"2020-11-03","   .77 %","   .00 %","   .48 %","","","   .40 %","","   .33 %","","","",""
"2020-11-04","   .51 %","","   .92 %","","   .00 %","   .40 %","","","  2.78 %","  1.32 %","",""
"2020-11-05","   .51 %","","  1.02 %","","   .88 %","   .20 %","","   .33 %","","","","   .00 %"
"2020-11-06","   .79 %","   .00 %","   .58 %","","  1.74 %","   .60 %","","   .32 %","","","   .00 %","   .00 %"
"2020-11-07","  1.17 %","","   .39 %","",""," 10.71 %","","   .65 %","","","","   .00 %"
"2020-11-08","   .04 %","","   .43 %","","   .85 %","   .54 %","","   .00 %","","   .65 %","",""
"2020-11-09","   .25 %","   .00 %","   .50 %","","","","","   .32 %","","   .65 %","",""
"2020-11-10","   .34 %","","   .32 %","","   .85 %","   .71 %","","   .32 %","","","   .00 %",""
"2020-11-11","   .49 %","   .00 %","   .25 %","","   .84 %","   .71 %","","   .32 %","","  1.28 %","","   .72 %"
"2020-11-12","   .17 %","","   .92 %","","","   .18 %","","","   .00 %","   .63 %","",""
"2020-11-13","   .24 %","","   .17 %","","","   .35 %","","","  8.11 %","","",""
"2020-11-14","  2.04 %","","   .07 %","","","   .17 %","","","","","",""
"2020-11-15","   .97 %","  4.35 %","  2.47 %","","","   .17 %","","","","  5.66 %","",""
"2020-11-16","   .44 %","","  3.94 %","","","   .00 %","","","","","",""
"2020-11-17","   .25 %","","   .39 %","","","   .00 %",""," 42.36 %","  7.50 %","   .60 %","",""
"2020-11-18","  2.85 %","","   .16 %","","","","","   .45 %","","  7.69 %","",""
"2020-11-19","  1.24 %","  4.17 %","   .23 %","","","   .35 %","","  2.67 %","  2.33 %","","",""
"2020-11-20","  2.39 %","","   .26 %","","   .00 %","   .17 %","","","","   .55 %","",""
"2020-11-21","   .86 %","","   .03 %","","","","","   .00 %","","  7.65 %","",""
"2020-11-22","   .40 %","","  2.52 %","","","","","","","","","   .72 %"
"2020-11-23","   .85 %","   .00 %","   .57 %","","","   .17 %","","   .00 %","","  2.54 %","",""
"2020-11-24","   .13 %","","  1.91 %","","   .00 %","   .17 %","","  1.95 %","","","",""
"2020-11-25","   .58 %","","   .65 %","","","   .35 %","","   .43 %","","","","   .00 %"
"2020-11-26","   .28 %","","   .83 %","","","  2.41 %","","   .64 %","   .00 %","  3.96 %","",""
"2020-11-27","   .23 %","","   .36 %","","","   .17 %","","   .63 %","   .00 %","   .48 %","",""
"2020-11-28","   .31 %","","   .09 %","","   .00 %","   .00 %","","   .21 %","   .00 %","   .47 %","",""
"2020-11-29","   .44 %","","   .48 %","","","","","","   .00 %","   .47 %","",""
"2020-11-30","   .18 %","","   .42 %","","   .83 %","   .17 %","","   .00 %","","","",""
"2020-12-01","   .37 %","   .00 %","","","","","","   .00 %","","","",""
"2020-12-26","   .00 %","","   .03 %","","","","","   .21 %","","","",""
"2020-12-27","   .00 %","","   .00 %","","","   .00 %","","","","","",""
"2020-12-28","   .03 %","  8.00 %","   .06 %","","  4.13 %","","","   .62 %","","   .00 %","",""
"2020-12-29","   .08 %","","   .03 %","","","","","","","","",""
"2020-12-30","   .05 %","","   .00 %","","   .79 %","   .00 %","","   .00 %","","","",""
"2020-12-31","   .03 %","","   .09 %","","   .79 %","","","","","","",""
"2021-01-01","   .03 %","   .00 %","   .00 %","   .00 %","   .00 %","","","","","","",""
"2021-01-02","   .00 %","   .00 %","","","","","","","","","",""
"2021-01-03","   .02 %","","   .00 %","","   .00 %","","","","   .00 %","","",""
"2021-01-04","   .03 %","","   .06 %","","","   .17 %","","","","","",""
"2021-01-05","   .02 %","","   .00 %","","   .00 %","","","   .21 %","","","",""
"2021-01-06","   .24 %","","   .03 %","  5.56 %","   .00 %","","","","","","",""
"2021-01-07","   .05 %","","   .06 %","","","","","   .21 %","","","",""
"2021-01-08","   .06 %","","","","   .00 %","","","   .00 %","","","",""
"2021-01-09","   .11 %","","   .06 %","","  1.56 %","","","","","","",""
"2021-01-10","   .02 %","","   .03 %","","   .77 %","","","","","","",""
"2021-01-11","   .03 %","","   .21 %","","   .00 %","","","   .00 %","","","",""
"2021-01-12","   .10 %","   .00 %","   .06 %","","  1.53 %","","","","","","",""
"2021-01-13","   .05 %","","   .03 %","","   .75 %","   .17 %","","","","","",""
"2021-01-14","   .05 %","","   .83 %","","   .75 %","","","","","","",""
"2021-01-15","   .03 %","","   .06 %","","","   .00 %","","","","","",""
"2021-01-16","   .02 %","","   .32 %","   .00 %","  2.22 %","","","","","","",""
"2021-01-17","   .02 %","","   .03 %","","   .72 %","","","","","   .47 %","",""
"2021-01-18","   .03 %","","   .00 %","","   .72 %","","","   .00 %","","","",""
"2021-01-19","   .05 %","","   .06 %","","","","","","","","",""
"2021-01-20","   .00 %","","   .03 %","","","","","   .00 %","","","",""
"2021-01-21","   .05 %","","   .00 %","","","","","","","","",""
"2021-01-22","   .02 %","","   .03 %","","","","","","","","",""
"2021-01-23","   .05 %","","","","   .71 %","","","","","","",""
"2021-01-24","","","   .00 %","","","","","","","","",""
"2021-01-25","   .00 %","","   .00 %","","   .00 %","   .00 %","","   .41 %","","   .47 %","",""
"2021-01-26","   .02 %","","   .00 %","","","","","","","   .47 %","",""
"2021-01-27","   .02 %","","   .03 %","","","","","","","","",""
"2021-01-28","   .00 %","","","","   .00 %","","","   .21 %","","","",""
"2021-01-29","   .05 %","","   .03 %","","","","","","","","",""
"2021-01-30","","","   .06 %","","   .00 %","","","","","","",""
"2021-01-31","","","   .12 %","","","","","","","","",""
"2021-02-01","","","   .12 %","","","","","","","   .46 %","",""
"2021-02-02","   .03 %","","","","","","","","","","",""
"2021-02-03","   .02 %","","   .44 %","","","","","","","","",""
"2021-02-04","   .02 %","","   .09 %","","   .00 %","","","","","","",""
"2021-02-05","   .00 %","","   .15 %","","","","","","","","",""
"2021-02-06","   .00 %","","   .64 %","","","","","","","","",""
"2021-02-07","","","   .29 %","","","","","","","","",""
"2021-02-08","   .02 %","","   .03 %","","","","","","","   .00 %","",""
"2021-02-09","   .00 %","","   .17 %","","","","","","","","",""
"2021-02-10","   .00 %","","   .06 %","","","","","","","","",""
"2021-02-11","   .02 %","","   .17 %","","","","","","","","",""
"2021-02-12","   .00 %","","   .03 %","","","","","   .00 %","","","",""
"2021-02-13","","","   .20 %","","","","","","","","",""
"2021-02-14","","","   .17 %","","","","","","","","",""
"2021-02-15","","","   .00 %","","","","","","","","",""
"2021-02-16","   .02 %","","   .00 %","","","","","","","","",""
"2021-02-17","   .00 %","","   .00 %","","","","","","","","",""
"2021-02-18","   .00 %","","","","   .71 %","","","","","","",""
"2021-02-19","","","   .00 %","","","","","","","","",""
"2021-02-20","","","   .00 %","","","","","","","","",""
"2021-02-21","","","   .03 %","","","","","","","","",""
"2021-02-22","","","   .00 %","","","","","","","","",""
"2021-02-24","","","   .00 %","","","","","","","","",""
"2021-02-25","   .02 %","","   .14 %","","","","","","","","",""
"2021-02-26","   .00 %","","   .00 %","","","","","","","","",""
"2021-02-27","","","   .03 %","","","","","","","","",""
"2021-02-28","","","   .03 %","","","","","","","","",""
"2021-03-03","","","   .14 %","","","","","","","","",""
"2021-03-04","","","   .14 %","","","","","","","","",""
"2021-03-06","","","   .03 %","","","","","","","","",""
"2021-03-07","","","   .17 %","","","","","","","","",""
"2021-03-08","","","   .00 %","","","","","","","","",""
"2021-03-09","","","   .00 %","","","","","","","","",""
"2021-03-10","   .00 %","","   .00 %","","","","","","","","",""
"2021-03-12","","","   .06 %","","  1.41 %","","","","","","",""
"2021-03-13","","","   .11 %","","","","","","","","",""
"2021-03-17","","","   .00 %","","","","","","","","",""
"2021-03-19","","","   .00 %","","","","","","","","",""
"2021-03-24","   .02 %","","","","   .00 %","","","","","","",""
"2021-03-25","   .05 %","","","","","","","","","","",""
"2021-03-26","   .02 %","","","","","","","","","","",""
"2021-03-28","   .02 %","","   .00 %","","","","","","","","",""
"2021-03-29","","","   .08 %","","","","","","","","",""
"2021-03-31","","","  3.02 %","","","","","","","","",""
"2021-04-01","   .06 %","","   .03 %","","","","","","","","",""
"2021-04-02","   .05 %","","   .36 %","","","","","","","","",""
