"date","Chhattisgarh/Balod","Chhattisgarh/Baloda Bazar","Chhattisgarh/Balrampur","Chhattisgarh/Bametara","Chhattisgarh/Bastar","Chhattisgarh/Bijapur","Chhattisgarh/Bilaspur","Chhattisgarh/Dakshin Bastar Dantewada","Chhattisgarh/Dhamtari","Chhattisgarh/Durg","Chhattisgarh/Gariaband","Chhattisgarh/Gaurela Pendra Marwahi","Chhattisgarh/Janjgir Champa","Chhattisgarh/Jashpur","Chhattisgarh/Kabeerdham","Chhattisgarh/Kondagaon","Chhattisgarh/Korba","Chhattisgarh/Koriya","Chhattisgarh/Mahasamund","Chhattisgarh/Mungeli","Chhattisgarh/Narayanpur","Chhattisgarh/Other State","Chhattisgarh/Raigarh","Chhattisgarh/Raipur","Chhattisgarh/Rajnandgaon","Chhattisgarh/Sukma","Chhattisgarh/Surajpur","Chhattisgarh/Surguja","Chhattisgarh/Unknown","Chhattisgarh/Uttar Bastar Kanker"
"2020-05-25","","","","","","","1","","","","","","","","","","","","","","","","","7","1","","","","",""
"2020-05-26","8","2","","","","","1","","","","1","","5","","7","","5","1","","","","","","","1","","7","","",""
"2020-05-27","10","4","","","","","1","","","","","","","","","","","","","","","","","","1","","","","",""
"2020-05-28","","","","","","","1","","","","","","","","","","","1","","","","","","","1","","","","",""
"2020-05-29","","6","","","","","3","","","10","4","","10","","12","","5","","","","","","","7","","","","","",""
"2020-05-30","11","","","","","","","","","","","","","","","","","1","","1","","","","7","","","","","",""
"2020-05-31","11","7","","2","","","3","","","","","","12","","","","8","","","","","","","8","1","","","","","3"
"2020-06-01","11","","","2","","","6","","1","10","4","","","","","","8","","","3","","","","8","1","","","1","","3"
"2020-06-02","12","7","","6","","","6","","","10","4","","12","","","","8","1","","7","","","","","","","","","",""
"2020-06-03","12","7","","","","","10","","","10","","","14","","12","","","3","","24","","","6","","","","","4","","9"
"2020-06-04","13","7","5","8","","","14","","","10","4","","14","","17","","","5","","39","","","6","8","1","","7","6","",""
"2020-06-05","19","12","5","12","","","17","","","10","","","","","18","","10","5","","41","","","6","8","1","","","","","11"
"2020-06-06","19","13","8","13","","","25","","","10","","","16","","18","","10","5","","52","","","6","9","1","","7","7","","11"
"2020-06-07","","13","8","13","","","25","","","10","","","16","6","13","","10","","","","","","12","9","1","","","","",""
"2020-06-08","20","14","","14","","","33","","2","11","","3","16","8","13","","14","7","5","53","","","13","10","35","","8","7","","13"
"2020-06-09","21","14","","14","","","","","","11","","","16","","14","","","","9","56","","","14","11","36","","","","",""
"2020-06-10","","","8","14","","","33","","","11","","","16","12","","","14","7","","56","","","","11","","","","7","",""
"2020-06-11","","15","","14","2","","60","","","11","","","28","13","16","","26","","18","56","","","16","12","36","","8","8","",""
"2020-06-12","24","58","8","19","","","","","5","19","5","","28","28","18","","35","23","19","62","","","","21","37","","","9","",""
"2020-06-13","35","60","8","19","","","60","","5","19","7","","18","33","35","","52","23","36","","","","24","30","46","","","","",""
"2020-06-14","","65","15","19","","","63","","","19","7","","24","33","40","","55","","49","82","","1","30","40","","","","11","","18"
"2020-06-15","","84","18","","","","82","","5","27","","","37","36","","","52","29","55","82","","","53","48","51","","9","26","",""
"2020-06-16","35","90","29","20","","","83","","","31","8","","45","44","42","","84","29","55","","","","","58","58","","9","","",""
"2020-06-17","","95","30","22","","","128","","","32","8","","76","54","49","","111","32","55","103","","","54","63","59","","9","27","","22"
"2020-06-18","41","112","30","25","3","","134","","6","36","9","","79","54","74","1","96","41","56","103","","","55","89","64","","17","25","","24"
"2020-06-19","41","115","37","27","","","141","","","37","","","87","76","","","135","42","60","103","","","60","89","68","","","25","",""
"2020-06-20","","117","65","","","","141","","","42","9","","87","79","78","","138","42","61","","","","64","100","70","","","","",""
"2020-06-21","","120","71","28","","","154","","","42","9","","87","79","","","141","","64","","","","70","104","84","","","25","","24"
"2020-06-22","","129","72","38","","","165","","","50","10","","87","80","80","","149","","67","103","","","71","115","84","","17","","",""
"2020-06-23","","129","72","","4","","","2","","58","15","","95","82","","2","149","42","69","","2","","71","122","85","","","25","","25"
"2020-06-24","","133","","","","","170","","","60","16","","107","","","","177","49","73","104","","","72","127","88","","18","","","25"
"2020-06-25","","172","72","41","4","","","2","7","63","20","","121","82","86","","210","","74","","","","73","150","88","","18","","",""
"2020-06-26","42","200","94","","","","","","","78","","","148","87","86","","223","51","","","","","73","164","99","","","42","","26"
"2020-06-27","","200","97","","","","170","","","82","21","","159","","86","","225","54","77","111","","","76","178","100","","","","",""
"2020-06-28","","200","97","","","","170","2","","87","24","","172","89","86","3","236","","","120","6","","81","180","163","3","","","","30"
"2020-06-29","42","200","103","44","5","","","2","","98","24","","182","90","94","","236","54","77","","9","","86","187","195","","","43","","30"
"2020-06-30","43","218","105","44","6","","175","4","","101","","","194","94","","","240","","78","121","","","","196","209","","19","46","","49"
"2020-07-01","43","221","","","","","175","4","","105","","","217","96","94","","245","54","80","121","9","","92","199","211","","","49","","49"
"2020-07-02","44","","115","46","7","","175","4","","105","27","","217","98","","","266","","81","121","","","98","204","216","","","49","","51"
"2020-07-03","45","225","115","48","7","1","175","4","","117","","","","110","94","","","","","","10","","102","211","222","","21","","","51"
"2020-07-04","46","222","123","48","7","","175","4","","125","","","229","124","94","","275","56","82","","10","","106","225","262","5","","49","",""
"2020-07-05","","","","","","2","176","8","","132","","","231","126","96","","280","56","83","","13","","121","227","","","24","49","","55"
"2020-07-06","","222","130","48","7","","176","18","","145","","","232","","100","","280","","87","","15","","122","233","279","","24","49","","56"
"2020-07-07","50","236","","49","","2","187","18","","161","40","","232","133","","","","57","88","122","15","","125","244","279","","25","","","56"
"2020-07-08","52","239","","53","14","","186","18","","164","40","","241","168","102","","284","57","","","16","","128","254","298","5","","52","","59"
"2020-07-09","53","241","130","53","25","2","191","18","","165","42","","243","168","109","","288","59","","","23","","130","269","301","","25","52","","63"
"2020-07-10","54","247","133","60","","","201","18","","165","43","","246","188","110","5","288","","89","123","23","1","131","322","309","","","55","","67"
"2020-07-11","","","","63","25","","201","27","7","167","","","","189","","","288","63","","","23","","","340","314","","","55","","67"
"2020-07-12","55","247","133","69","42","3","225","27","7","168","43","5","247","","110","","","63","","","23","","134","359","321","","","55","","68"
"2020-07-13","55","247","","69","44","4","228","","7","170","45","5","249","189","110","","","63","89","123","25","","135","385","323","","","58","","71"
"2020-07-14","55","","146","71","44","5","239","27","","170","47","","250","189","111","5","289","","","","31","","135","410","330","5","26","58","","73"
"2020-07-15","55","255","147","72","52","","239","32","7","170","47","6","257","","110","5","289","63","89","","32","","141","410","330","5","29","66","","74"
"2020-07-16","","259","147","77","61","6","250","45","","172","48","","259","189","110","","304","","","","39","1","141","462","330","7","","67","","76"
"2020-07-17","55","259","153","78","","","263","52","7","175","48","","265","190","112","7","","63","89","123","49","1","141","463","339","","","67","",""
"2020-07-18","","259","153","78","64","6","267","52","7","175","49","","282","190","112","12","304","68","","","73","1","146","533","348","7","","70","","76"
"2020-07-19","","264","157","81","68","10","273","58","","179","49","","282","","","12","310","68","","123","99","","146","545","358","25","","70","","85"
"2020-07-20","59","290","158","88","","10","280","62","8","194","","","287","190","","12","","69","90","","","","147","602","382","25","31","81","","87"
"2020-07-21","","294","159","92","68","10","303","62","21","200","54","9","289","192","","12","","69","","","101","2","148","684","393","26","","87","","90"
"2020-07-22","64","296","165","92","74","10","310","69","","217","55","","303","192","","16","311","75","91","123","101","","150","697","393","30","31","102","","95"
"2020-07-23","65","298","","96","74","15","336","69","23","237","58","","305","192","112","16","317","75","91","123","119","","152","715","433","","31","102","","103"
"2020-07-24","67","298","165","97","74","15","336","69","23","272","58","","325","190","120","16","317","81","91","132","131","","152","778","433","","31","114","","117"
"2020-07-25","69","299","166","100","74","","346","69","26","283","","","332","190","121","19","317","","92","","138","4","153","804","435","","","126","","140"
"2020-07-26","69","299","168","101","100","15","410","73","28","290","60","","338","191","121","","317","82","92","134","","","158","916","435","32","34","140","","147"
"2020-07-27","78","304","","108","100","","426","87","30","304","61","","351","","123","","320","82","98","","","","158","1003","456","","41","142","","166"
"2020-07-28","","311","168","","100","16","443","102","31","318","62","","367","198","138","38","324","89","104","138","138","","159","1123","458","","41","152","","166"
"2020-07-29","","314","168","","104","","449","104","31","324","67","10","367","199","141","38","326","89","105","152","145","","163","1232","459","","41","180","",""
"2020-07-30","","314","170","111","104","40","470","107","31","354","73","10","374","201","141","43","330","92","106","162","150","5","163","1338","486","","41","183","","188"
"2020-07-31","85","324","173","116","126","56","472","114","32","366","73","12","394","210","142","43","340","96","106","","156","5","172","1460","503","","42","183","","211"
"2020-08-01","86","324","185","121","132","","517","","32","385","73","","421","","144","43","","98","106","162","156","","177","1664","520","45","51","196","","211"
"2020-08-02","","325","187","122","132","56","542","120","32","503","80","25","421","","","48","342","100","106","","157","","184","1816","539","61","49","202","","211"
"2020-08-03","86","336","","126","149","58","549","122","32","567","82","","422","212","","","342","","107","162","158","","190","1941","539","66","49","203","","225"
"2020-08-04","89","348","189","127","152","58","559","126","32","596","83","30","438","215","167","48","","100","107","168","159","6","197","2119","579","71","49","210","","225"
"2020-08-05","91","354","","127","153","","578","127","32","619","83","","445","220","182","75","354","104","107","167","171","6","202","2215","597","","49","215","","226"
"2020-08-06","92","362","191","127","155","58","591","129","37","667","83","31","452","218","","75","364","104","108","168","171","6","202","2325","597","71","50","222","","226"
"2020-08-07","92","371","192","127","174","81","620","131","38","680","83","31","452","218","183","79","364","107","116","168","171","6","208","2413","612","71","52","224","","231"
"2020-08-08","93","384","192","127","181","81","628","131","38","690","90","","464","222","185","87","364","115","116","168","171","6","208","2490","704","76","61","224","","231"
"2020-08-09","93","385","199","127","185","81","644","131","","750","90","","464","224","","87","365","117","117","170","","6","208","2616","705","76","63","225","","232"
"2020-08-10","96","389","200","128","189","81","661","131","39","770","90","","473","224","188","91","371","125","130","171","171","6","227","2676","735","76","64","226","","234"
"2020-08-11","99","392","","128","192","81","676","138","42","776","94","","489","250","","100","376","133","137","171","172","6","242","2733","748","82","64","233","","242"
"2020-08-12","100","392","226","128","209","83","682","","57","800","95","","490","252","","","382","137","138","171","172","6","245","2840","795","82","64","237","","244"
"2020-08-13","100","400","226","134","209","83","700","138","57","819","96","","490","254","189","100","383","137","138","173","172","6","247","2900","800","82","83","237","","250"
"2020-08-14","100","414","230","134","212","83","708","","57","828","96","","501","255","190","100","389","137","148","","172","6","270","2974","830","82","88","237","","250"
"2020-08-15","101","414","240","134","220","","714","","57","841","100","","511","261","190","100","389","137","154","","172","6","286","3054","854","83","89","240","","250"
"2020-08-16","108","414","243","134","221","83","780","138","61","855","107","","515","265","190","109","389","137","169","","172","6","289","3084","857","83","89","250","","259"
"2020-08-17","108","428","245","138","231","86","788","144","62","865","118","","526","266","192","109","397","138","171","174","172","","291","3296","888","91","101","252","","260"
"2020-08-18","109","445","245","146","234","86","797","146","62","870","118","","539","272","196","109","401","145","188","180","172","","312","3356","933","93","101","254","","277"
"2020-08-19","110","453","245","156","253","90","807","148","63","880","118","33","543","272","197","109","403","150","195","180","243","7","320","3457","994","93","102","257","","283"
"2020-08-20","111","457","245","183","259","90","840","149","63","893","122","","551","290","236","114","407","150","199","181","277","","321","3735","1054","101","102","262","","283"
"2020-08-21","135","457","246","186","266","90","845","154","67","908","123","","567","290","236","114","409","152","221","183","290","9","363","3810","1073","101","102","285","","283"
"2020-08-22","140","469","247","199","279","92","894","156","68","925","124","","568","293","236","114","409","152","223","184","297","11","459","3893","1118","101","103","290","","293"
"2020-08-23","147","470","249","200","283","99","900","159","69","1101","128","33","589","302","","116","418","166","223","186","300","11","483","4006","1209","116","111","304","","293"
"2020-08-24","152","472","251","201","304","101","926","161","82","1267","134","33","595","305","236","120","426","166","223","186","304","12","525","4128","1218","144","118","310","","300"
"2020-08-25","180","476","253","202","304","102","932","161","83","1277","136","33","598","306","248","130","427","169","229","186","323","15","573","4227","1256","147","122","311","","302"
"2020-08-26","185","505","255","206","307","102","959","163","86","1290","137","33","618","321","248","142","464","172","236","186","337","16","604","4353","1264","148","126","332","","326"
"2020-08-27","186","506","256","206","313","102","970","166","100","1301","145","33","631","341","254","145","465","181","251","186","350","17","617","4591","1279","168","132","350","","341"
"2020-08-28","219","509","256","207","327","145","994","166","108","1331","170","","640","342","257","171","465","202","259","187","350","19","646","4745","1319","178","135","357","","348"
"2020-08-29","233","530","258","222","336","145","1083","173","109","1356","199","","644","372","262","187","465","230","271","190","366","19","750","4934","1341","207","149","373","","357"
"2020-08-30","238","574","258","222","337","145","1084","173","138","1374","199","","647","378","262","187","485","236","298","190","371","19","841","5058","1429","211","149","373","","370"
"2020-08-31","261","583","258","229","347","145","1092","206","142","1398","","33","721","379","274","195","505","251","299","218","397","22","906","5249","1469","238","152","401","","396"
"2020-09-01","282","610","261","271","350","168","1093","226","159","1406","220","33","743","379","275","226","535","255","316","223","417","22","987","5350","1476","277","159","414","","410"
"2020-09-02","283","628","263","296","360","180","1180","226","172","1415","229","33","809","386","275","228","549","255","316","223","422","22","1048","5479","1510","312","176","487","","434"
"2020-09-03","283","633","266","317","366","223","1190","232","201","1431","240","","827","399","281","228","563","276","331","228","441","22","1152","5707","1575","328","203","503","","447"
"2020-09-04","283","671","278","318","441","223","1200","241","202","1475","242","","830","399","297","243","597","282","393","242","465","22","1188","5863","1589","333","213","522","","499"
"2020-09-05","315","711","289","360","450","223","1250","252","250","1494","255","33","896","406","301","258","597","284","419","276","482","23","1283","6110","1634","346","233","529","","504"
"2020-09-06","318","711","299","397","488","223","1286","252","264","1513","267","","898","411","301","258","606","284","419","","493","24","1305","6438","1682","426","245","551","","506"
"2020-09-07","335","755","299","406","536","223","1311","263","289","1742","272","34","902","416","301","260","645","304","421","276","518","30","1348","6745","1722","454","278","556","","512"
"2020-09-08","365","757","300","408","545","230","1325","270","300","1802","313","34","933","426","301","278","678","324","428","289","531","35","1410","6858","1785","465","289","572","","517"
"2020-09-09","381","820","307","410","580","467","1375","274","307","1844","376","34","965","438","301","279","732","334","431","303","531","40","1419","7224","1843","487","307","587","","518"
"2020-09-10","395","866","327","417","711","477","1435","314","367","2446","381","38","1009","453","319","297","814","365","431","304","576","41","1579","7452","1969","505","318","696","","529"
"2020-09-11","404","915","338","439","768","493","1473","325","382","2591","401","38","1136","464","322","329","875","374","435","316","588","49","1694","7669","2076","550","330","722","","603"
"2020-09-12","433","949","338","453","808","507","1473","334","400","2684","429","38","1146","468","328","344","875","383","462","316","601","49","1804","7884","2196","561","341","747","","603"
"2020-09-13","504","1002","344","468","863","521","1545","347","405","2853","459","36","1199","480","384","364","927","401","523","316","625","49","1928","10587","2423","570","367","794","","623"
"2020-09-14","507","1004","344","492","905","521","1597","347","405","2857","505","36","1199","521","402","403","970","436","581","319","653","49","2122","10912","2540","580","412","826","","640"
"2020-09-15","532","1009","385","508","960","549","1614","354","445","2966","523","","1214","523","405","406","996","445","636","333","653","49","2191","11371","2610","580","420","837","","664"
"2020-09-16","574","1015","394","543","970","","1960","","445","2976","550","36","1217","541","454","409","1029","445","686","334","653","49","2306","11964","2804","615","458","867","","664"
"2020-09-17","758","1076","405","629","995","696","2497","354","599","3103","550","36","1422","541","459","435","1040","470","730","337","653","118","2323","15152","2957","657","483","942","","670"
"2020-09-18","787","1247","454","667","1039","737","2681","354","634","3341","553","41","1604","545","462","483","1078","490","842","352","653","118","2559","16664","3073","698","489","1006","","717"
"2020-09-19","833","1266","476","721","1042","761","2808","354","644","3455","557","","1623","546","462","496","1110","491","904","352","653","118","2644","17546","3149","723","501","1064","","717"
"2020-09-20","875","1276","476","724","1043","782","2967","390","674","3936","559","","1624","546","480","510","1119","491","931","352","684","","2828","17800","3278","730","582","1090","","723"
"2020-09-21","936","1299","479","778","1056","799","3112","390","707","4371","559","61","1665","546","496","530","1150","497","1002","352","685","118","3000","18235","3313","854","631","1174","","745"
"2020-09-22","993","1330","479","806","1060","861","3428","404","721","4636","564","65","1689","552","601","536","1172","498","1080","376","685","118","3082","18917","3609","964","636","1247","","868"
"2020-09-23","1020","1344","481","830","1194","864","4656","500","875","5124","587","65","1707","584","996","577","1194","576","1119","459","687","118","3271","19225","4631","1009","804","1282","","970"
"2020-09-24","1075","1350","493","835","1197","909","4882","524","956","5522","589","66","1878","618","996","579","1211","629","1210","512","701","121","3429","19600","4770","1037","806","1340","","974"
"2020-09-25","1214","1559","575","878","1288","1023","5581","896","1038","7612","829","189","2268","662","1066","798","1258","1039","1503","793","762","121","3744","20281","5311","1087","926","1474","","1061"
"2020-09-26","1279","1719","604","918","1290","1054","5870","982","1285","7822","878","232","2837","666","1135","849","1473","1045","1561","826","766","124","4390","21023","5555","1114","983","1542","","1109"
"2020-09-27","1345","1758","616","935","1332","1054","5919","1018","1288","7943","882","250","3063","706","1145","902","1497","1049","1581","826","766","125","4449","21235","5661","1164","989","1564","","1138"
"2020-09-28","1434","1896","690","974","1401","1058","5968","1130","1305","8117","886","262","3241","682","1228","909","1521","1066","1681","844","870","131","4588","21677","5775","1271","1051","1673","","1184"
"2020-09-29","1551","2402","721","1047","1736","1107","6126","1275","1581","8327","906","268","3427","794","1550","957","1773","1092","1763","904","943","132","4743","22026","5900","1294","1157","1735","","1253"
"2020-09-30","1609","2525","740","1056","1809","1319","6524","1408","1605","8648","1126","","3581","839","1640","1009","1903","1093","1875","911","972","","4883","22392","6157","1371","1227","1795","","1277"
"2020-10-01","1692","2634","758","1133","2018","1490","6688","1540","1752","8846","1211","","3705","845","1680","1047","1994","1127","1941","1023","1048","140","5077","22799","6358","1421","1293","1840","","1307"
"2020-10-02","1769","2797","798","1140","2281","1543","6781","1638","1915","9141","1255","277","3772","878","1763","1057","2076","1208","1968","1074","1098","140","5260","23891","6458","1452","1350","1936","","1355"
"2020-10-03","1856","2861","859","1205","2325","1569","6999","1763","1999","9421","1289","286","3866","899","1863","1108","2186","1293","2041","1159","1144","141","5549","24317","6696","1481","1398","1993","","1487"
"2020-10-04","1923","2897","888","1232","2406","1682","7240","1913","2169","9559","1293","286","3916","912","1944","1125","2276","1318","2088","1232","1173","141","5837","24736","6842","1544","1437","2031","","1667"
"2020-10-05","2006","3151","905","1283","2488","1702","7411","1995","2336","9923","1354","286","4125","945","2006","1185","2431","1432","2105","1304","1189","141","6043","25212","7034","1577","1504","2206","","1764"
"2020-10-06","2109","3221","949","1368","2743","1758","7673","2150","2545","10199","1421","302","4328","971","2057","1231","2664","1444","2196","1376","1226","141","6213","25853","7152","1619","1555","2240","","1823"
"2020-10-07","2164","3291","966","1407","3616","1829","7806","2301","2608","10372","1496","331","4439","1001","2092","1240","2985","1466","2218","1437","1256","146","6336","26276","7272","1716","1570","2291","","1876"
"2020-10-08","2212","3311","981","1442","3679","1914","7919","2476","2658","10511","1521","346","4595","1006","2124","1252","3243","1491","2312","1460","1264","146","6555","26546","7343","1785","1614","2382","","1915"
"2020-10-09","2287","3396","1000","1467","3803","1979","8150","2652","2703","10736","1562","348","4747","1012","2165","1267","3373","1599","2335","1529","1282","146","6794","26866","7467","1804","1690","2433","","2319"
"2020-10-10","2387","3485","1008","1479","3817","2037","8349","2795","2765","10924","1592","355","4908","1038","2209","1315","3510","1612","2357","1582","1315","146","7074","27316","7655","1939","1761","2472","","2428"
"2020-10-11","2486","3542","1026","1481","4010","2078","8506","2821","2780","11177","1603","360","5026","1051","2243","1339","3663","1619","2412","1631","1351","146","7228","27664","7758","1939","1801","2544","","2462"
"2020-10-12","2557","3612","1047","1573","4133","2230","8691","2870","2796","11425","1688","365","5213","1068","2295","1403","3830","1702","2565","1706","1360","146","7397","27978","7981","1940","1861","2579","","2505"
"2020-10-13","2624","3712","1072","1600","4241","2285","8840","2950","2947","11590","1721","367","5463","1085","2325","1438","4055","1750","2667","1727","1385","148","7586","28481","8143","1986","1937","2631","","2570"
"2020-10-14","2668","3783","1127","1623","4362","2392","8938","3052","2984","11735","1815","375","5557","1116","2382","1483","4161","1776","2714","1767","1405","151","7750","28816","8232","2077","1982","2687","","2614"
"2020-10-15","2724","3869","1173","1663","4473","2446","9008","3098","3035","11885","1849","378","5709","1142","2400","1559","4280","1804","2762","1784","1410","151","7980","29293","8439","2085","2096","2766","","2658"
