"date","Jharkhand/Bokaro","Jharkhand/Chatra","Jharkhand/Deoghar","Jharkhand/Dhanbad","Jharkhand/Dumka","Jharkhand/East Singhbhum","Jharkhand/Garhwa","Jharkhand/Giridih","Jharkhand/Godda","Jharkhand/Gumla","Jharkhand/Hazaribagh","Jharkhand/Jamtara","Jharkhand/Khunti","Jharkhand/Koderma","Jharkhand/Latehar","Jharkhand/Lohardaga","Jharkhand/Pakur","Jharkhand/Palamu","Jharkhand/Ramgarh","Jharkhand/Ranchi","Jharkhand/Sahibganj","Jharkhand/Saraikela-Kharsawan","Jharkhand/Simdega","Jharkhand/West Singhbhum"
"2020-06-17","","1","","8","","0","","","","0","0","","","0","","0","","","0","0","","4","17",""
"2020-06-18","","2","","1","","8","0","5","","0","0","10","","","0","0","","","0","0","","3","18",""
"2020-06-19","3","5","","0","","83","1","0","","0","0","0","","13","0","6","14","","0","4","","3","1","4"
"2020-06-20","","2","","","","9","0","0","","0","7","8","6","0","2","","","","19","3","","","10","3"
"2020-06-21","0","","0","0","","0","2","0","0","0","0","","0","0","","0","","","0","0","","","","0"
"2020-06-22","","0","0","0","0","8","","0","","14","0","","1","32","","0","","1","","2","","5","0",""
"2020-06-23","","6","","0","","8","","1","","0","","","","0","","0","","0","0","3","0","1","21","11"
"2020-06-24","","","0","0","0","2","","","","1","0","","0","","2","4","","0","","4","","","42",""
"2020-06-25","0","","0","","","16","11","0","","0","0","","0","0","","","","0","","1","","1","1",""
"2020-06-26","0","2","0","0","0","4","","0","0","","0","","","23","","3","0","3","","5","","2","",""
"2020-06-27","0","0","20","0","","15","","0","","0","13","","","6","","","","","19","4","0","0","",""
"2020-06-28","0","1","","","","9","0","15","7","0","0","","","0","","0","","","5","1","0","0","31","0"
"2020-06-29","","2","0","2","","3","0","0","","2","0","3","3","4","1","1","","2","","5","0","0","24","4"
"2020-06-30","0","","0","0","0","0","","14","","","","","1","0","","","","0","1","1","0","1","17",""
"2020-07-01","7","","4","0","0","11","0","","0","11","0","5","0","","4","0","0","1","2","1","0","","1",""
"2020-07-02","","0","1","0","","4","0","0","0","","33","","0","9","0","0","","2","0","1","0","","","7"
"2020-07-03","0","4","0","0","3","0","0","0","","0","0","","","0","","","","","","0","","2","4",""
"2020-07-04","0","3","0","11","","14","","0","","0","","","0","0","0","0","0","6","","0","0","0","","0"
"2020-07-05","0","","0","0","","0","","0","","","","","0","5","","0","0","0","","2","0","3","0",""
"2020-07-06","","1","3","0","","6","","1","","2","1","","","1","0","3","4","1","","0","","0","","0"
"2020-07-07","0","3","3","0","","0","0","5","","13","0","","","5","0","1","-3","0","7","0","","-1","3","0"
"2020-07-08","3","0","0","2","0","27","0","","","0","14","","0","0","","","0","","1","0","2","7","1","9"
"2020-07-09","0","0","2","12","2","0","","0","0","0","0","0","","0","2","0","0","7","1","8","2","2","2",""
"2020-07-10","0","0","","5","0","4","0","0","0","","0","","","0","0","0","0","2","0","0","0","3","","0"
"2020-07-11","0","0","0","7","0","13","0","0","0","0","1","0","1","4","0","0","0","0","1","4","0","1","0","0"
"2020-07-12","8","0","2","0","","2","0","0","0","","0","","0","7","0","9","","11","0","11","2","","",""
"2020-07-13","0","0","0","7","","15","0","1","0","2","0","0","0","0","0","0","0","0","0","12","1","3","2","0"
"2020-07-14","0","0","0","0","1","12","0","9","0","","12","0","3","18","0","0","0","0","5","7","7","0","2","1"
"2020-07-15","","4","2","23","2","0","0","0","0","0","0","0","0","7","0","0","","10","0","2","2","5","0","0"
"2020-07-16","","1","2","0","0","18","0","0","0","0","1","0","0","0","","0","0","0","2","0","","2","0","2"
"2020-07-17","0","11","7","0","6","6","0","0","0","0","4","0","0","6","11","0","0","4","2","0","0","3","0","4"
"2020-07-18","0","17","0","0","0","0","0","0","0","0","0","1","0","5","0","0","12","6","3","30","1","4","0","0"
"2020-07-19","0","2","7","1","0","6","0","0","9","0","0","","1","0","","0","6","3","2","22","0","","","3"
"2020-07-20","0","","0","0","","3","0","0","","0","18","","","0","","27","30","2","0","26","0","0","","11"
"2020-07-21","2","0","8","0","7","12","0","20","2","0","21","","0","10","0","0","0","1","10","0","0","3","0","11"
"2020-07-22","29","0","0","0","0","18","0","22","0","5","0","0","1","3","","0","","0","0","0","0","5","","23"
"2020-07-23","0","17","2","0","","29","99","0","0","0","22","0","3","0","","15","0","0","12","6","0","1","","0"
"2020-07-24","0","32","","0","4","2","12","0","0","0","0","","","7","","8","0","19","0","1","0","0","12","3"
"2020-07-25","7","8","0","0","3","20","0","2","","","0","","","3","8","","","40","0","55","","2","0","19"
"2020-07-26","3","0","11","0","1","54","-12","0","0","0","0","3","0","5","33","-1","0","-1","0","85","0","2","0","0"
"2020-07-27","0","14","0","0","1","25","0","0","0","0","24","4","0","16","0","13","","0","0","0","0","4","0","0"
"2020-07-28","4","0","","22","0","15","0","13","0","0","4","2","4","0","","0","0","0","0","59","39","0","4","13"
"2020-07-29","6","0","0","0","3","7","1","0","","0","16","0","0","13","0","3","0","15","0","9","","4","","0"
"2020-07-30","4","","0","0","4","20","0","48","0","0","4","0","0","14","0","0","0","21","0","0","0","0","0","0"
"2020-07-31","35","0","0","0","6","21","0","5","0","0","0","0","2","6","0","18","0","38","0","29","0","7","0","0"
"2020-08-01","6","9","0","0","0","35","0","11","0","0","0","0","0","9","","","0","0","0","78","7","6","9","0"
"2020-08-02","0","","0","0","2","4","0","64","4","","0","8","","7","0","0","0","0","0","41","0","30","9","0"
"2020-08-03","0","0","0","0","0","16","0","35","0","0","0","23","0","2","0","0","0","0","0","34","0","0","2","0"
"2020-08-04","0","0","","0","5","57","0","112","0","0","24","","0","6","0","46","0","44","44","67","","0","0","0"
"2020-08-05","14","0","71","0","2","50","21","91","101","5","31","0","10","6","0","0","22","0","4","128","0","11","31","29"
"2020-08-06","12","19","1","290","3","62","4","","17","4","18","8","1","32","0","17","","3","120","104","1","5","1","46"
"2020-08-07","0","9","80","38","","0","6","48","15","28","34","2","6","36","123","0","26","0","1","369","38","6","20","12"
"2020-08-08","24","0","112","23","11","42","84","103","11","13","91","14","1","22","10","9","0","66","12","104","10","1","41","30"
"2020-08-09","43","11","57","44","20","75","48","84","38","37","13","5","0","8","11","","0","45","42","83","1","0","0","8"
"2020-08-10","8","38","0","0","8","62","95","57","3","60","28","3","0","6","0","0","66","24","27","233","5","3","7","17"
"2020-08-11","82","19","33","0","3","114","20","133","52","26","24","","15","8","20","","18","33","38","69","3","8","21","68"
"2020-08-12","27","63","63","317","16","128","21","10","285","52","27","16","7","5","51","39","90","40","21","156","53","57","10","88"
"2020-08-13","0","9","20","31","0","383","38","0","2","8","24","4","19","31","0","0","5","20","10","176","0","7","0","29"
"2020-08-14","50","0","59","178","18","65","14","9","25","0","27","2","0","20","4","0","0","78","2","51","20","11","7","25"
"2020-08-15","0","","9","0","2","256","0","37","0","0","15","6","33","38","8","","0","0","25","3","11","15","42","3"
"2020-08-16","11","0","48","0","0","0","38","0","0","8","27","4","25","85","","12","0","75","0","207","0","26","0","0"
"2020-08-17","21","21","26","33","5","25","0","23","13","4","29","9","61","29","11","23","1","60","6","61","19","30","46","45"
"2020-08-18","38","0","32","0","22","31","25","28","8","0","66","5","4","0","5","20","0","30","0","11","0","8","5","23"
"2020-08-19","13","2","61","280","1","101","14","0","9","24","42","0","40","9","0","0","0","35","22","104","40","24","8","28"
"2020-08-20","55","0","75","28","7","50","74","13","4","27","43","12","33","22","80","0","","76","15","89","0","10","14","27"
"2020-08-21","15","7","54","82","3","322","10","39","4","49","58","5","12","18","0","25","6","19","7","246","4","3","32","32"
"2020-08-22","25","7","25","63","8","20","2","18","0","28","32","4","20","4","0","15","0","43","43","369","4","40","9","35"
"2020-08-23","25","41","21","71","9","448","13","21","26","8","3","12","0","63","17","3","6","18","27","70","0","7","7","34"
"2020-08-24","59","0","61","71","1","145","6","101","6","5","28","0","7","17","72","20","12","68","17","82","23","40","36","12"
"2020-08-25","31","","15","81","10","146","32","8","17","20","39","0","21","27","18","14","0","63","52","82","3","15","8","23"
"2020-08-26","26","12","4","42","0","164","15","73","7","21","12","13","26","11","13","2","27","73","16","100","4","32","8","35"
"2020-08-27","66","0","6","57","27","57","18","0","14","12","15","22","25","3","0","17","5","48","34","61","0","63","29","54"
"2020-08-28","30","12","22","273","17","152","4","0","5","3","34","7","36","26","27","30","0","52","16","96","133","3","0","41"
"2020-08-29","35","10","25","160","3","168","10","74","7","29","29","14","33","2","0","0","10","39","24","319","0","22","2","63"
"2020-08-30","100","0","21","94","4","404","17","33","12","0","12","14","13","9","0","0","17","22","10","370","0","7","34","39"
"2020-08-31","27","0","56","28","16","166","5","0","6","0","23","0","36","0","35","8","0","46","0","95","0","90","1","57"
"2020-09-01","49","10","38","58","5","116","32","194","17","6","31","15","4","37","16","45","0","58","75","60","0","60","7","73"
"2020-09-02","44","11","10","11","6","490","32","44","0","20","38","33","15","42","13","0","9","21","81","512","68","36","19","43"
"2020-09-03","68","11","31","65","171","193","32","100","15","26","43","24","8","22","15","8","0","0","152","56","34","0","28","37"
"2020-09-04","104","35","68","127","41","216","48","86","4","9","24","21","4","35","17","34","5","14","89","83","40","8","0","45"
"2020-09-05","129","103","20","50","11","322","53","79","14","59","8","7","7","35","41","0","35","46","88","1076","37","8","2","57"
"2020-09-06","159","1","9","7","7","328","46","22","28","0","69","0","33","59","0","30","1","64","117","708","7","9","57","93"
"2020-09-07","190","0","20","30","17","107","50","89","5","25","66","11","58","48","44","20","7","54","72","286","3","85","1","78"
"2020-09-08","65","33","30","54","1","204","65","78","11","16","128","29","37","24","29","29","38","84","52","622","15","45","12","111"
"2020-09-09","0","6","21","12","0","31","48","60","51","5","38","74","4","153","14","10","0","42","84","361","128","53","15","87"
"2020-09-10","270","0","32","34","35","445","28","0","28","24","106","12","5","96","55","0","0","38","28","115","0","9","5","91"
"2020-09-11","217","39","28","19","10","83","58","7","6","52","40","6","42","12","51","2","15","34","91","329","0","15","0","57"
"2020-09-12","309","29","14","57","13","306","23","28","14","6","32","8","65","22","67","23","6","42","72","265","64","195","13","73"
"2020-09-13","9","27","61","50","18","181","23","36","6","1","59","15","27","95","10","20","1","45","25","570","0","142","30","58"
"2020-09-14","89","0","63","31","26","419","37","111","9","69","36","10","12","42","34","2","0","55","64","332","0","20","11","57"
"2020-09-15","241","18","40","23","6","282","27","126","11","43","84","5","31","22","14","0","10","26","53","329","128","36","40","43"
"2020-09-16","39","7","68","159","25","80","3","48","26","0","135","7","7","12","45","22","22","39","37","694","20","46","4","62"
"2020-09-17","21","0","29","92","1","263","41","18","21","45","33","5","5","70","39","0","0","0","111","446","0","104","8","98"
"2020-09-18","17","22","30","107","1","72","53","22","21","21","54","4","16","16","0","18","14","22","189","340","55","37","32","82"
"2020-09-19","11","0","76","11","2","571","24","22","13","55","45","9","23","1","14","34","0","35","199","228","18","98","67","89"
"2020-09-20","9","0","21","23","5","383","40","11","40","26","40","10","32","2","0","0","0","45","214","128","11","116","8","83"
"2020-09-21","15","0","117","34","23","402","54","6","32","20","80","31","34","49","18","0","4","43","176","259","9","71","26","96"
"2020-09-22","48","37","37","68","10","326","23","11","22","47","85","0","15","8","7","57","6","68","68","304","6","65","88","78"
"2020-09-23","27","0","24","111","7","50","25","76","21","51","77","0","42","300","0","9","1","54","71","285","22","162","27","90"
"2020-09-24","81","7","42","86","7","41","63","21","30","25","39","23","18","264","7","20","20","78","34","229","12","157","0","82"
"2020-09-25","35","109","36","121","15","510","42","36","40","27","53","5","16","3","37","6","1","48","51","184","23","38","32","102"
"2020-09-26","7","0","40","123","11","263","34","0","66","18","129","16","0","0","0","25","0","24","36","318","50","36","56","72"
"2020-09-27","9","3","15","98","1","303","47","19","49","35","40","9","0","17","0","23","","21","17","153","0","26","4","69"
"2020-09-28","93","0","39","90","51","157","19","2","37","35","54","16","1","165","42","18","0","38","50","696","43","66","31","63"
"2020-09-29","43","1","41","99","10","93","23","29","36","41","43","7","81","4","1","6","20","46","32","517","0","66","2","54"
"2020-09-30","122","33","11","50","14","202","32","97","55","27","55","9","19","134","15","25","","13","44","385","4","38","4","56"
"2020-10-01","41","0","56","108","13","40","29","12","30","49","56","22","8","13","3","2","14","0","39","448","9","37","30","60"
"2020-10-02","14","0","44","63","24","235","11","0","30","21","34","10","3","0","0","16","0","36","16","311","1","54","0","44"
"2020-10-03","115","45","56","40","4","246","15","20","16","32","56","8","12","18","5","5","0","16","40","353","4","38","0","32"
"2020-10-04","69","34","44","29","7","119","42","0","50","10","39","11","1","38","0","","0","0","20","291","4","19","27","53"
"2020-10-05","0","0","14","100","24","236","48","29","25","2","52","4","36","45","35","59","0","34","30","478","3","38","3","37"
"2020-10-06","115","27","31","52","17","151","12","36","10","5","37","2","37","31","21","4","13","42","36","440","12","55","8","52"
"2020-10-07","44","0","7","58","8","132","14","25","24","18","38","4","65","5","14","0","38","25","22","502","0","9","2","33"
"2020-10-08","95","22","36","64","19","113","13","7","14","3","42","31","73","117","0","31","33","18","17","419","3","48","45","0"
"2020-10-09","48","0","42","49","7","156","7","10","16","6","77","15","32","14","67","64","8","22","12","378","43","25","15","102"
"2020-10-10","36","27","15","59","20","102","5","15","10","10","75","3","50","20","47","115","1","26","18","391","13","37","4","52"
"2020-10-11","46","0","11","44","1","112","18","12","20","109","51","6","17","0","0","1","","0","6","244","0","16","2","50"
"2020-10-12","60","0","19","27","15","106","14","23","13","10","47","5","7","24","23","12","34","18","22","308","2","16","40","45"
"2020-10-13","62","4","10","91","27","133","38","0","15","16","28","9","13","5","6","2","5","20","21","289","5","28","3","23"
"2020-10-14","41","0","29","185","19","73","12","0","22","5","47","8","19","0","12","153","1","0","20","294","21","27","37","28"
"2020-10-15","32","16","16","22","11","135","5","31","11","18","36","7","18","31","19","4","6","0","23","353","9","35","0","35"
"2020-10-16","42","17","7","38","15","82","26","56","11","13","24","30","11","0","13","0","0","0","17","318","11","18","23","46"
"2020-10-17","33","6","6","12","8","55","11","0","16","0","26","20","23","12","0","6","12","18","16","181","","11","0","29"
"2020-10-18","47","","8","15","5","49","18","0","3","4","10","0","26","2","13","11","7","11","6","173","8","10","0","26"
"2020-10-19","24","27","25","29","5","60","10","0","10","18","35","1","26","9","16","8","","10","27","338","41","15","10","25"
