"date","Telangana/Adilabad","Telangana/Bhadradri Kothagudem","Telangana/Bhadradri kothagudem","Telangana/Foreign Evacuees","Telangana/Hyderabad","Telangana/Jagtial","Telangana/Jangaon","Telangana/Jayashankar Bhupalapally","Telangana/Jayashankar bhupalapally","Telangana/Jogulamba Gadwal","Telangana/Jogulamba gadwal","Telangana/Kamareddy","Telangana/Karimnagar","Telangana/Khammam","Telangana/Komaram Bheem","Telangana/Komaram bheem","Telangana/Mahabubabad","Telangana/Mahabubnagar","Telangana/Mancherial","Telangana/Medak","Telangana/Medchal Malkajgiri","Telangana/Medchal malkajgiri","Telangana/Mulugu","Telangana/Nagarkurnool","Telangana/Nalgonda","Telangana/Narayanpet","Telangana/Nirmal","Telangana/Nizamabad","Telangana/Other State","Telangana/Peddapalli","Telangana/Rajanna Sircilla","Telangana/Rajanna sircilla","Telangana/Ranga Reddy","Telangana/Ranga reddy","Telangana/Sangareddy","Telangana/Siddipet","Telangana/Suryapet","Telangana/Vikarabad","Telangana/Wanaparthy","Telangana/Warangal Rural","Telangana/Warangal Urban","Telangana/Warangal rural","Telangana/Warangal urban","Telangana/Yadadri Bhuvanagiri","Telangana/Yadadri bhuvanagiri","Telangana/Yadgir"
"2020-04-01","","","","","108","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-04-02","","","","","135","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-04-03","","","","","141","","","","","","","","","2","","","","","","","","","","","","","","1","","","1","","23","","6","1","6","6","","","20","","","","",""
"2020-04-04","","","","","","","","","","","","","15","","","","1","4","","5","","","","","","","","20","","","","","","","","","","","","","","","","","",""
"2020-04-05","1","","","","192","","","","","","","","","","","","","","","","","","","","","","1","21","","1","","","","","7","","","8","","","","","","","",""
"2020-04-06","","","","","","1","","","","8","","","16","","","","","7","","","4","","","","","","4","28","","2","","","","","","","9","","","","","","","","",""
"2020-04-07","2","","","","209","","","","","17","","","","","","","","10","","","","","","","","","","38","","","","","","","","","","","","","","","","","",""
"2020-04-08","","","","","212","","","","","","","","","","","","","","","","6","","2","2","12","","15","49","","","","","","","","","","","","","","","","","",""
"2020-04-09","","","","","215","","","","","","","10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-04-10","10","4","","","","2","2","2","","19","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-04-11","11","","","","224","","","3","","","","11","","3","1","","","11","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-04-12","","","","","234","","","","","","","","","4","2","","","","","","","","","","","","17","51","","","","","","","","","16","12","","","21","","","","",""
"2020-04-13","","","","","279","","","","","","","","","5","3","","","","","","","","","","","","","","","","","","","","","","23","19","","","","","","","",""
"2020-04-14","","","","","319","","","","","","","","","7","","","","","","","","","","","","","","","","","","","","","","","","29","","","","","","","",""
"2020-04-15","","","","","324","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-04-16","","","","","357","","","","","","","","","","","","","","","","","","","","","","","54","","","","","","","","","33","33","","","","","","","",""
"2020-04-17","","","","","407","3","","","","","","","17","","","","","","","","","","","","","","","58","","","","","","","","","43","","","","","","","","",""
"2020-04-18","","","","","438","","","","","26","","","","","","","","","","","","","","","13","","","","","","3","","25","","","","","","","","","","","","",""
"2020-04-19","16","","","","476","","","","","","","","","","","","","","","","","","","","15","","","","","","","","","","","","","37","","","","","","","",""
"2020-04-20","","","","","488","","","","","","","","","","","","","","","","7","","","","","","","59","","","","","","","","","","","","","","","","","",""
"2020-04-21","18","","","","507","","","","","28","","","","8","","","","","","","8","","","","","","","62","","","","","26","","","","69","","","","22","","","","",""
"2020-04-22","","","","","517","","","","","30","","","","","","","","","","","","","","","","","","","","","","","","","","","72","","","","","","","","",""
"2020-04-23","","","","","530","","3","","","40","","","","","4","","","","","","9","","","","","","","","","","","","27","","","","","","","","","","","","",""
"2020-04-25","","","","","536","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","23","","","","",""
"2020-04-26","","","","","547","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-04-27","","","","","549","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-04-28","","","","","555","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-04-30","","","","","555","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-05-01","","","","","560","","","","","","","","","","","","","","","","","","","","","","","","","","","","28","","","","","","","","","","","","",""
"2020-05-02","18","","","","575","","","","","","","","","8","","","","","","","","","","","","","","62","","","","","30","","","","72","37","","","","","","","",""
"2020-05-03","","","","","595","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-05-04","","","","","598","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-05-06","18","","","","609","","","","","40","","","","8","","","","","","","9","","","","","","17","","","","","","","","","","72","37","","","","","","","",""
"2020-05-07","18","","","","621","","","","","40","","","","","","","","","","","9","","","","15","","","62","3","","","","30","","7","","72","37","","","","","","","",""
"2020-05-08","18","","","","631","","","","","40","","","","","","","","","","5","9","","","","","","","62","","","3","","30","","","","72","37","","","","","","","",""
"2020-05-09","18","","","","661","","","","","40","","","","","","","","","","","9","","","","","","","","4","","3","","30","","","","72","37","","","","","","","",""
"2020-05-10","","","","","687","","","","","","","","","","","","","","","","","","","","","","","","11","","","","","","","","","","","","","","","","",""
"2020-05-11","","","","","766","","","","","","","","17","","4","","","","","","9","","","","","","17","","","","","","","","","","72","","","","","","","","",""
"2020-05-12","","","","","803","","","","","","","","","","","","","","","","9","","","","","","","","25","","","","30","","","","72","","","","23","","","","",""
"2020-05-13","","","","","834","","","","","","","","","","","","","","","","","","","","","","","","35","","","","","","","","","","","","","","","","",""
"2020-05-14","","","","","874","","","","","","","","","","","","","","","","","","","","","","","","37","","","","35","","","","","","","","","","","","",""
"2020-05-15","","","","","907","","","","","","","","","","4","","","","","","","","","","","","","","44","","","","","","","","","37","","","","","","","",""
"2020-05-16","","","","","951","","","","","","","","","","","","","","","","","","","","","","","","52","","","","36","","9","","","","","","","","","","",""
"2020-05-17","","","","","988","","","","","","","","","","","","","","","","","","","","","","","","55","","","","38","","","","","","","","","","","","",""
"2020-05-18","","","","","1014","","","","","","","","","","","","","","","","12","","","","","","","","67","","","","","","","","","","","","","","","","",""
"2020-05-19","","","","","1048","","","","","","","","","","","","","","","","","","","","","","","","75","","","","","","","","","","","","","","","","",""
"2020-05-20","","","","","1063","","","","","","","","","","","","","","","","","","","","","","","","87","","","","","","","","","","","","","","","","",""
"2020-05-21","","","","","1089","","","","","","","","","","","","","","","","","","","","","","","","97","","","","40","","","","","","","","","","","","",""
"2020-05-22","","","","","1131","","","","","","","","","","","","","","","","","","","","","","","","116","","","","41","","","","","","","","","","","","",""
"2020-05-24","","","","6","1154","","","","","","","","","","","","","","","","","","","","","","","","127","","","","42","","","","","","","","","","","","",""
"2020-05-25","","","","24","1185","","","","","","","","","","","","","","","","","","","","","","","","143","","","","43","","","","","","","","","","","","",""
"2020-05-26","","","","28","1223","","","","","","","","","","","","","","","","18","","","","16","1","","","155","","","","50","","","","73","38","","","","","","","",""
"2020-05-29","","","","","1305","","","","","","","","","","","","","","","7","","","","","","","","","224","","","","64","","11","","","","","","","","","","",""
"2020-05-30","","","","33","1346","6","","","","","","","","","","","","13","","","19","","","3","","","","63","233","","","","69","","14","","74","39","1","","24","","","","",""
"2020-05-31","","","","","1468","9","4","","","","","","","17","","","","16","","10","29","","","","","","18","","236","","","","109","","","","75","","","","26","","","1","",""
"2020-06-01","","","","","1547","","5","","","","","","","","","","2","","","12","32","","","","18","","","","","3","","","112","","16","","","","","","","","","","",""
"2020-06-02","","","","","1617","10","","","","","","","","","","","","17","1","","35","","","","20","","","","248","","","","119","","17","2","","","","","","","","","",""
"2020-06-03","","","","","1725","","","","","","","12","","","10","","","18","","","37","","","","","","","","250","","5","","125","","","","","","","","","","","2","",""
"2020-06-04","25","","","","1835","","","","","","","","","18","","","","","","","39","","","","","","","","","","","","131","","18","","","","","","","","","","",""
"2020-06-05","27","","","","1951","","","","","","","","19","20","","","","23","2","","41","","","","","","","","","","","","139","","20","","","","","","29","","","","",""
"2020-06-06","","5","","","2103","12","6","","","41","","","20","","","","3","27","3","","59","","","5","21","","23","","","","","","149","","","","","40","","","","","","7","",""
"2020-06-07","","","","","2235","","","","","","","","21","","","","4","","","","62","","","6","","","","","","","","","161","","21","3","","","","","","","","9","",""
"2020-06-09","","","","","2378","13","","","","","","","","","11","","6","","","14","72","","","","","","","","","","6","","176","","23","","","","","1","","","","","",""
"2020-06-10","","","","","2521","16","","","","","","","23","","","","","31","","17","83","","","8","22","","","64","","","","","184","","34","4","","41","","","","","","","",""
"2020-06-11","","","","","2696","","","","","","","13","26","","13","","","34","","","93","","3","","","","","","","","7","","191","","","6","","","","2","31","","","","",""
"2020-06-12","","","","","2829","","","","","","","14","28","","","","","36","4","18","99","","5","","","","","67","","","","","197","","38","7","","","2","","","","","10","",""
"2020-06-13","","","","","3008","17","","","","","","15","30","21","","","","40","6","19","113","","7","9","24","","","68","","","9","","208","","62","8","","","","4","33","","","","",""
"2020-06-14","28","","","","3203","","","","","","","17","32","","","","","42","9","20","123","","","","","","","70","","","10","","216","","67","9","","","","5","35","","","11","",""
"2020-06-15","29","","","","3392","","","","","","","","","","","","","43","","21","125","","","","","","","","","4","","","229","","69","","","","3","8","39","","","12","",""
"2020-06-16","","","","","3557","","7","","","","","18","38","","14","","","","","34","128","","","","","","","72","","5","","","245","","71","10","","","","","","","","13","",""
"2020-06-17","","","","","3771","","12","4","","","","","46","","15","","","44","","37","130","","12","","","","","","","","","","258","","74","","","42","5","","49","","","","",""
"2020-06-18","","","","","4073","","15","6","","","","","","22","","","","46","13","39","140","","","","25","","","74","","","","","275","","76","","","","","9","52","","","","",""
"2020-06-19","","","","","4402","18","22","","","","","","47","24","","","","52","17","","144","","","","29","","","78","","","","","404","","77","","77","","","","56","","","14","",""
"2020-06-20","30","","","","4860","","32","","","","","","60","26","","","","55","","","150","","","","","","","","","","","","454","","","","","","","11","57","","","","",""
"2020-06-21","31","6","","","5519","","66","","","","","","","","18","","","","","40","159","","","","30","2","","","","","","","464","","78","","","44","","","","","","15","",""
"2020-06-22","","","","","6232","","68","","","","","21","62","","","","8","","22","43","175","","","","","","","","","","","","571","","90","","","","","17","58","","","","",""
"2020-06-23","","","","","6884","","75","","","","","31","","","","","10","","24","44","287","","","13","","","","","","","","","635","","92","","","","","31","67","","","","",""
"2020-06-24","32","12","","","7603","","","","","42","","32","64","30","","","11","","","","342","","","","32","","","79","","6","11","","721","","94","11","78","","","34","70","","","","",""
"2020-06-25","33","","","","8340","","76","","","","","33","77","","19","","12","58","","46","402","","14","","35","","","","","","15","","807","","","12","","45","","35","72","","","","",""
"2020-06-26","40","","","","9114","20","","9","","","","","","33","","","","59","","55","455","","16","19","36","","","85","","","21","","893","","","15","","46","","","92","","","17","",""
"2020-06-27","","14","","","10002","","80","","","","","38","82","34","20","","13","64","25","","492","","","23","71","","","","","","24","","967","","105","17","","","6","","99","","","","",""
"2020-06-28","42","19","","","10818","","81","","","44","","","85","37","","","","65","58","56","521","","","","74","","","86","","","","","1014","","106","20","79","","","54","111","","","","",""
"2020-06-29","","27","","","11679","","","","","45","","40","95","","21","","14","68","","","541","","","","76","","","","","","","","1054","","120","21","","","","59","115","","","19","",""
"2020-06-30","","","","","12548","","","","","","","","97","38","","","","70","","","554","","","","","","27","87","","","","","1083","","141","22","80","47","","","","","","","",""
"2020-07-01","44","","","","13429","24","","","","46","","42","99","45","23","","","80","67","58","590","","18","","80","","","90","","","","","1116","","143","25","82","","","68","","","","21","",""
"2020-07-02","","34","","","14427","28","","","","47","","44","104","63","","","19","87","","59","644","","22","24","88","4","31","95","","","30","","1164","","150","26","86","48","","78","124","","","22","",""
"2020-07-03","","38","","","16085","29","","","","48","","50","105","65","","","26","99","","62","688","","23","25","101","","33","98","","","36","","1220","","170","29","","49","11","119","125","","","","",""
"2020-07-04","","41","","","17657","34","84","13","","50","","","123","72","","","","104","","63","741","","","","111","","34","115","","","39","","1312","","178","34","","52","","125","156","","","23","",""
"2020-07-05","45","43","","","18934","","86","","","51","","51","127","","","","45","","","66","866","","","","125","5","36","118","","7","40","","1394","","197","35","109","54","15","126","","","","24","",""
"2020-07-06","","","","","20353","38","","","","52","","","132","93","","","46","113","87","86","983","","","","134","6","","127","","16","","","1554","","200","","115","61","","","165","","","25","",""
"2020-07-07","46","46","","","21775","40","87","19","","56","","58","164","96","","","48","124","","98","1077","","35","27","165","","","146","","19","42","","1730","","209","36","124","62","16","","178","","","","",""
"2020-07-08","49","51","","","23365","43","","","","","","61","178","100","24","","","139","","103","1120","","","30","178","7","","165","","24","55","","1829","","229","","131","73","25","152","185","","","30","",""
"2020-07-09","50","74","","","24283","44","89","25","","58","","63","210","112","","","53","147","","120","1187","","36","","199","","","183","","25","63","","1954","","308","37","141","78","27","159","219","","","32","",""
"2020-07-10","64","","","","25045","","92","","","59","","86","219","130","25","","59","161","104","142","1272","","","","231","16","37","191","","31","70","","2125","","344","41","155","","28","167","224","","","33","",""
"2020-07-11","72","","","","25781","46","94","","","65","","","243","132","26","","","173","109","158","1373","","","","243","21","39","203","","43","94","","2250","","357","50","162","87","30","169","244","","","42","",""
"2020-07-12","76","77","","","26581","50","100","","","72","","","266","133","","","67","190","112","172","1467","","","53","258","","43","214","","52","97","","2382","","393","53","169","93","45","171","256","","","49","",""
"2020-07-13","77","87","","","27507","","110","31","","77","","119","352","171","","","80","203","113","178","1520","","","55","299","","44","222","","58","104","","2594","","412","63","179","96","46","179","272","","","54","",""
"2020-07-14","84","95","","","28322","52","114","43","","90","","138","381","179","31","","","210","125","202","1617","","42","56","337","","47","239","","","123","","2834","","473","67","194","117","51","181","302","","","","",""
"2020-07-15","85","102","","","29118","","122","58","","94","","168","422","185","","","85","231","151","220","1732","","46","61","395","26","","252","","78","129","","3046","","546","94","208","122","56","","346","","","67","",""
"2020-07-16","","108","","","29906","53","123","66","","99","","173","514","195","","","104","237","155","246","1892","","","91","459","33","","272","","85","132","","3270","","603","99","228","130","107","182","393","","","68","",""
"2020-07-17","","109","","","30712","57","133","68","","101","","204","591","213","42","","115","256","170","269","1974","","47","114","494","47","","283","","120","159","","3361","","623","107","248","147","109","","444","","","79","",""
"2020-07-18","93","","","","31379","58","139","72","","115","","206","649","223","44","","","272","189","284","2036","","","115","540","","48","309","","134","161","","3429","","709","129","271","182","133","187","481","","","89","",""
"2020-07-19","108","","","","31936","69","144","","","119","","273","676","228","45","","136","278","190","313","2123","","49","128","566","","49","333","","163","180","","3540","","737","139","287","183","140","228","598","","","104","",""
"2020-07-20","119","120","","","32446","105","156","98","","122","","","763","231","49","","172","328","193","326","2199","","58","155","590","","50","364","","171","","","3646","","747","142","299","194","","229","671","","","105","",""
"2020-07-21","126","125","","","33149","123","165","125","","126","","316","790","245","","","199","334","198","352","2304","","","173","635","","51","412","","175","188","","3763","","797","156","326","203","","249","705","","","114","",""
"2020-07-22","134","126","","","33991","126","","","","131","","338","863","267","51","","210","348","201","377","2400","","66","187","686","","52","440","","198","206","","3895","","821","158","348","204","161","285","743","","","122","",""
"2020-07-23","151","128","","","34653","140","187","150","","133","","355","901","277","55","","228","409","202","404","2433","","83","238","730","","53","478","","200","268","","4108","","853","167","387","209","","307","818","","","126","",""
"2020-07-24","160","139","","","35336","157","197","174","","140","","411","1001","290","","","272","420","209","426","2463","","97","290","772","","54","496","","298","288","","4243","","955","175","398","217","179","329","854","","","137","",""
"2020-07-25","174","156","","","35977","159","218","177","","145","","447","1052","308","","","301","458","236","447","2554","","109","336","778","54","55","528","","314","315","","4414","","1016","180","420","226","180","350","985","","","148","",""
"2020-07-27","202","166","","","36483","177","228","187","","177","","464","1143","328","","","335","466","250","464","2640","","121","355","806","56","","569","","","334","","4582","","1114","192","452","228","189","358","1096","","","159","",""
"2020-07-28","215","182","","","37014","189","246","207","","211","","482","1191","354","","","349","489","263","476","2753","","153","364","832","70","","627","","362","348","","4754","","1188","206","487","239","192","383","1248","","","171","",""
"2020-07-29","230","212","","","37523","201","259","215","","233","","492","1284","423","61","","358","536","291","499","2911","","170","393","883","77","63","674","","406","361","","4901","","1277","227","525","246","196","424","1386","","","182","",""
"2020-07-30","248","239","","","38044","216","281","235","","261","","503","1381","449","67","","397","577","309","514","3062","","186","402","944","86","75","718","","427","391","","5190","","1310","251","562","258","219","442","1488","","","198","",""
"2020-07-31","264","268","","","38630","223","302","239","","293","","549","1497","490","69","","434","638","344","559","3269","","213","432","980","90","84","737","","453","414","","5395","","1418","271","568","263","237","472","1611","","","210","",""
"2020-08-01","281","303","","","39208","244","323","263","","328","","567","1605","522","77","","474","669","381","575","3466","","232","450","1028","99","109","810","","495","453","","5623","","1519","287","602","284","246","511","1745","","","220","",""
"2020-08-02","300","335","","","39725","258","338","263","","366","","609","1698","569","79","","498","702","409","596","3612","","243","451","1074","110","117","941","","532","481","","5804","","1630","314","637","292","259","533","1883","","","232","",""
"2020-08-03","316","351","","","39998","270","351","275","","378","","637","1752","592","86","","516","723","410","614","3660","","257","483","1085","112","119","983","","576","501","","5877","","1667","320","648","296","285","558","1940","","","237","",""
"2020-08-04","325","389","","","40389","292","359","281","","433","","643","1853","633","89","","543","762","431","621","3732","","262","512","1114","116","123","1042","","605","","","5998","","1682","334","671","313","299","569","2003","","","240","",""
"2020-08-05","340","441","","","40921","319","","327","","481","","718","1894","730","","","579","813","432","642","3930","","280","531","1163","120","132","1125","","646","511","","6186","","1771","362","698","319","319","597","2130","","","266","",""
"2020-08-06","357","477","","","41456","347","385","348","","553","","746","2017","794","","","595","861","475","660","4056","","307","553","1215","126","157","1216","","700","594","","6355","","1872","382","732","328","353","621","2258","","","278","",""
"2020-08-07","371","559","","","41988","383","445","377","","640","","842","2110","879","110","","616","912","510","692","4192","","327","589","1243","141","163","1305","","771","619","","6551","","1909","410","755","352","371","637","2400","","","301","",""
"2020-08-08","397","638","","","42452","432","463","415","","735","","918","2211","948","","","639","957","554","706","4330","","347","602","1304","150","181","1379","","855","697","","6732","","2001","473","780","365","390","653","2587","","","325","",""
"2020-08-09","409","702","","","42915","474","541","436","","828","","980","2307","995","117","","656","1000","585","732","4471","","368","625","1363","153","228","1437","","926","726","","6871","","2050","528","800","375","418","693","2658","","","341","",""
"2020-08-10","472","709","","","43304","487","561","442","","842","","988","2380","1023","","","675","1021","596","741","4505","","371","663","1421","165","247","1470","","949","757","","6957","","2124","573","820","381","430","704","2725","","","344","",""
"2020-08-11","486","769","","","43642","546","632","462","","927","","1059","2501","1088","134","","698","1079","607","755","4624","","394","670","1475","178","259","1512","","1015","795","","7104","","2173","637","852","402","458","739","2820","","","368","",""
"2020-08-12","507","813","","","44121","574","658","478","","965","","1107","2565","1151","139","","712","1120","645","781","4796","","404","686","1529","190","280","1535","","1077","838","","7266","","2280","699","888","420","484","763","2907","","","379","",""
"2020-08-13","535","852","","","44419","626","717","495","","1021","","1146","2654","1224","142","","755","1154","690","799","4867","","433","739","1613","206","304","1588","","1141","892","","7390","","2366","770","952","439","522","789","3051","","","397","",""
"2020-08-14","563","886","","","44775","666","755","516","","1072","","1190","2727","1295","159","","803","1192","708","838","5035","","445","765","1686","212","341","1651","","1195","925","","7524","","2456","833","999","453","563","843","3125","","","413","",""
"2020-08-15","581","922","","","45169","727","789","528","","1130","","1221","2831","1356","171","","817","1210","715","874","5210","","458","789","1735","217","369","1690","","1235","1015","","7655","","2537","893","1032","469","589","884","3226","","","428","",""
"2020-08-16","595","937","","","45403","738","805","528","","1147","","1254","2932","1402","174","","854","1231","724","892","5273","","466","818","1763","221","373","1723","","1257","1028","","7736","","2603","923","1045","477","608","909","3296","","","439","",""
"2020-08-17","605","946","","","45550","769","812","","","1168","","1261","3001","1446","185","","884","1262","741","900","5324","","472","833","1800","","","1761","","1319","1030","","7821","","2632","981","1057","478","610","918","3340","","","440","",""
"2020-08-18","623","973","","","45785","828","844","547","","1237","","1305","3089","1491","194","","916","1275","820","936","5430","","489","863","1838","232","400","1855","","1378","1077","","7987","","2650","1028","1096","485","633","938","3447","","","461","",""
"2020-08-19","631","1008","","","46269","889","864","564","","1267","","1368","3142","1532","200","","949","1293","875","953","5599","","501","878","1903","238","416","1900","","1424","1108","","8153","","2681","1065","1116","493","654","969","3535","","","476","",""
"2020-08-20","648","1035","","","46664","924","877","571","","1304","","1400","3243","1574","207","","981","1321","920","987","5704","","512","900","1970","247","439","1961","","1467","1145","","8322","","2726","1126","1160","507","682","1001","3626","","","486","",""
"2020-08-21","664","1056","","","47137","1005","899","583","","1359","","1455","3329","1653","222","","1010","1347","960","1011","5874","","523","927","2030","261","458","2030","","1502","1174","","8524","","2764","1175","1188","523","703","1027","3727","","","504","",""
"2020-08-22","679","1100","","","47584","1096","919","602","","1418","","1516","3404","1778","233","","1059","1406","1013","1049","6023","","538","979","2152","272","477","2183","","1581","1226","","8725","","2836","1267","1251","541","740","1049","3850","","","532","",""
"2020-08-23","704","1152","","","48056","1201","949","609","","1486","","1585","3524","1883","245","","1120","1458","1103","1072","6075","","557","1008","2289","285","496","2331","","1646","1268","","8856","","2897","1334","1361","560","787","1070","3935","","","560","",""
"2020-08-24","727","1189","","","48429","1271","973","610","","1519","","1605","3658","1960","250","","1162","1522","1162","1085","6107","","569","1040","2336","289","506","2489","","1690","1281","","8965","","2947","1420","1474","571","837","1078","4009","","","574","",""
"2020-08-25","761","1272","","","48724","1369","1019","622","","1566","","1669","3774","2121","260","","1231","1603","1266","1127","6213","","585","1088","2465","308","534","2631","","1775","1340","","9151","","2977","1512","1552","594","893","1109","4152","","","620","",""
"2020-08-26","789","1367","","","49199","1469","1071","642","","1603","","1745","3901","2282","271","","1287","1663","1369","1167","6417","","611","1126","2655","322","575","2767","","1860","1409","","9398","","3038","1600","1619","615","939","1170","4291","","","664","",""
"2020-08-27","820","1439","","","49648","1558","1113","668","","1634","","1800","4037","2434","288","","1332","1765","1475","1208","6530","","637","1166","2819","346","600","2879","","1937","1441","","9666","","3072","1713","1705","642","994","1204","4423","","","703","",""
"2020-08-28","845","1528","","","50168","1671","1151","681","","1680","","1851","4205","2575","303","","1399","1841","1585","1232","6748","","655","1208","2978","362","632","3008","","1997","1505","","9884","","3121","1813","1807","664","1045","1238","4503","","","745","",""
"2020-08-29","875","1600","","","50600","1759","1193","695","","1719","","1916","4397","2707","317","","1463","1916","1671","1267","6876","","677","1262","3125","378","675","3121","","2094","1553","","10069","","3163","1909","1918","681","1108","1268","4604","","","803","",""
"2020-08-30","911","1688","","","51061","1851","1239","719","","1754","","1972","4569","2888","327","","1543","1974","1762","1312","7029","","711","1313","3296","391","708","3261","","2177","1608","","10282","","3207","2006","2036","696","1154","1285","4706","","","867","",""
"2020-08-31","928","1739","","","51421","1928","1273","720","","1782","","1997","4749","2991","348","","1597","2014","1810","1324","7070","","729","1349","3375","392","712","3355","","2206","1631","","10411","","3244","2091","2101","711","1186","1304","4800","","","888","",""
"2020-09-01","955","1856","","","51768","2019","1320","735","","1824","","2069","4855","3152","364","","1678","2080","1906","1367","7191","","753","1397","3566","410","751","3469","","2280","1680","","10623","","3260","2200","2208","723","1241","1334","4912","","","964","",""
"2020-09-02","993","1937","","","52245","2121","1363","756","","1852","","2133","5007","3280","377","","1739","2133","1989","1399","7383","","780","1442","3740","422","782","3579","","2365","1719","","10857","","3331","2308","2316","738","1292","1372","5028","","","1024","",""
"2020-09-03","1029","2026","","","52697","2209","1404","782","","1885","","2195","5171","3437","396","","1801","2175","2060","1434","7512","","798","1483","3897","443","798","3676","","2440","1772","","11073","","3407","2428","2432","765","1337","1418","5142","","","1097","",""
"2020-09-04","1066","2112","","","52964","2288","1455","806","","1921","","2280","5300","3565","412","","1851","2223","2129","1476","7702","","842","1531","4032","459","842","3761","","2508","1817","","11244","","3474","2510","2519","782","1375","1460","5237","","","1154","",""
"2020-09-05","1089","2205","","","53269","2373","1493","818","","1948","","2340","5450","3707","435","","1909","2265","2202","1518","7836","","860","1571","4202","475","873","3854","","2573","1889","","11428","","3544","2590","2615","801","1415","1496","5333","","","1232","",""
