"date","Jharkhand/Bokaro","Jharkhand/Chatra","Jharkhand/Deoghar","Jharkhand/Dhanbad","Jharkhand/Dumka","Jharkhand/East Singhbhum","Jharkhand/Garhwa","Jharkhand/Giridih","Jharkhand/Godda","Jharkhand/Gumla","Jharkhand/Hazaribagh","Jharkhand/Jamtara","Jharkhand/Khunti","Jharkhand/Koderma","Jharkhand/Latehar","Jharkhand/Lohardaga","Jharkhand/Pakur","Jharkhand/Palamu","Jharkhand/Ramgarh","Jharkhand/Ranchi","Jharkhand/Sahibganj","Jharkhand/Saraikela-Kharsawan","Jharkhand/Simdega","Jharkhand/West Singhbhum"
"2020-06-16","20","","","100","","52","83","","","53","","","16","64","44","31","","","69","126","","13","160","19"
"2020-06-17","","21","","108","","52","","","","53","113","","","64","","31","","","69","126","","17","177",""
"2020-06-18","","23","","109","","60","83","50","","53","113","12","","","44","31","","","69","126","","20","195",""
"2020-06-19","23","28","","109","","143","84","50","","53","113","12","","77","44","37","30","","69","130","","23","196","23"
"2020-06-20","","30","","","","152","84","50","","53","120","20","22","77","46","","","","88","133","","","206","26"
"2020-06-21","23","","10","109","","152","86","50","1","53","120","","22","77","","37","","","88","133","","","","26"
"2020-06-22","","30","10","109","4","160","","50","","67","120","","23","109","","37","","45","","135","","28","206",""
"2020-06-23","","36","","109","","168","","51","","67","","","","109","","37","","45","88","138","3","29","227","37"
"2020-06-24","","","10","109","4","170","","","","68","120","","23","","48","41","","45","","142","","","269",""
"2020-06-25","23","","10","","","186","97","51","","68","120","","23","109","","","","45","","143","","30","270",""
"2020-06-26","23","38","10","109","4","190","","51","1","","120","","","132","","44","30","48","","148","","32","",""
"2020-06-27","23","38","30","109","","205","","51","","68","133","","","138","","","","","107","152","3","32","",""
"2020-06-28","23","39","","","","214","97","66","8","68","133","","","138","","44","","","112","153","3","32","301","37"
"2020-06-29","","41","30","111","","217","97","66","","70","133","23","26","142","49","45","","50","","158","3","32","325","41"
"2020-06-30","23","","30","111","4","217","","80","","","","","27","142","","","","50","113","159","3","33","342",""
"2020-07-01","30","","34","111","4","228","97","","8","81","133","28","27","","53","45","30","51","115","160","3","","343",""
"2020-07-02","","41","35","111","","232","97","80","8","","166","","27","151","53","45","","53","115","161","3","","","48"
"2020-07-03","30","45","35","111","7","232","97","80","","81","166","","","151","","","","","","161","","35","347",""
"2020-07-04","30","48","35","122","","246","","80","","81","","","27","151","53","45","30","59","","161","3","35","","48"
"2020-07-05","30","","35","122","","246","","80","","","","","27","156","","45","30","59","","163","3","38","347",""
"2020-07-06","","49","38","122","","252","","81","","83","167","","","157","53","48","34","60","","163","","38","","48"
"2020-07-07","30","52","41","122","","252","97","86","","96","167","","","162","53","49","31","60","122","163","","37","350","48"
"2020-07-08","33","52","41","124","7","279","97","","","96","181","","27","162","","","31","","123","163","5","44","351","57"
"2020-07-09","33","52","43","136","9","279","","86","8","96","181","28","","162","55","49","31","67","124","171","7","46","353",""
"2020-07-10","33","52","","141","9","283","97","86","8","","181","","","162","55","49","31","69","124","171","7","49","","57"
"2020-07-11","33","52","43","148","9","296","97","86","8","96","182","28","28","166","55","49","31","69","125","175","7","50","353","57"
"2020-07-12","41","52","45","148","","298","97","86","8","","182","","28","173","55","58","","80","125","186","9","","",""
"2020-07-13","41","52","45","155","","313","97","87","8","98","182","28","28","173","55","58","31","80","125","198","10","53","355","57"
"2020-07-14","41","52","45","155","10","325","97","96","8","","194","28","31","191","55","58","31","80","130","205","17","53","357","58"
"2020-07-15","","56","47","178","12","325","97","96","8","98","194","28","31","198","55","58","","90","130","207","19","58","357","58"
"2020-07-16","","57","49","178","12","343","97","96","8","98","195","28","31","198","","58","31","90","132","207","","60","357","60"
"2020-07-17","41","68","56","178","18","349","97","96","8","98","199","28","31","204","66","58","31","94","134","207","19","63","357","64"
"2020-07-18","41","85","56","178","18","349","97","96","8","98","199","29","31","209","66","58","43","100","137","237","20","67","357","64"
"2020-07-19","41","87","63","179","18","355","97","96","17","98","199","","32","209","","58","49","103","139","259","20","","","67"
"2020-07-20","41","","63","179","","358","97","96","","98","217","","","209","","85","79","105","139","285","20","67","","78"
"2020-07-21","43","87","71","179","25","370","97","116","19","98","238","","32","219","66","85","79","106","149","285","20","70","357","89"
"2020-07-22","72","87","71","179","25","388","97","138","19","103","238","29","33","222","","85","","106","149","285","20","75","","112"
"2020-07-23","72","104","73","179","","417","196","138","19","103","260","29","36","222","","100","79","106","161","291","20","76","","112"
"2020-07-24","72","136","","179","29","419","208","138","19","103","260","","","229","","108","79","125","161","292","20","76","369","115"
"2020-07-25","79","144","73","179","32","439","208","140","","","260","","","232","74","","","165","161","347","","78","369","134"
"2020-07-26","82","144","84","179","33","493","196","140","19","103","260","32","36","237","107","107","79","164","161","432","20","80","369","134"
"2020-07-27","82","158","84","179","34","518","196","140","19","103","284","36","36","253","107","120","","164","161","432","20","84","369","134"
"2020-07-28","86","158","","201","34","533","196","153","19","103","288","38","40","253","","120","79","164","161","491","59","84","373","147"
"2020-07-29","92","158","84","201","37","540","197","153","","103","304","38","40","266","107","123","79","179","161","500","","88","","147"
"2020-07-30","96","","84","201","41","560","197","201","19","103","308","38","40","280","107","123","79","200","161","500","59","88","373","147"
"2020-07-31","131","158","84","201","47","581","197","206","19","103","308","38","42","286","107","141","79","238","161","529","59","95","373","147"
"2020-08-01","137","167","84","201","47","616","197","217","19","103","308","38","42","295","","","79","238","161","607","66","101","382","147"
"2020-08-02","137","","84","201","49","620","197","281","23","","308","46","","302","107","141","79","238","161","648","66","131","391","147"
"2020-08-03","137","167","84","201","49","636","197","316","23","103","308","69","42","304","107","141","79","238","161","682","66","131","393","147"
"2020-08-04","137","167","","201","54","693","197","428","23","103","332","","42","310","107","187","79","282","205","749","","131","393","147"
"2020-08-05","151","167","155","201","56","743","218","519","124","108","363","69","52","316","107","187","101","282","209","877","66","142","424","176"
"2020-08-06","163","186","156","491","59","805","222","","141","112","381","77","53","348","107","204","","285","329","981","67","147","425","222"
"2020-08-07","163","195","236","529","","805","228","567","156","140","415","79","59","384","230","204","127","285","330","1350","105","153","445","234"
"2020-08-08","187","195","348","552","70","847","312","670","167","153","506","93","60","406","240","213","127","351","342","1454","115","154","486","264"
"2020-08-09","230","206","405","596","90","922","360","754","205","190","519","98","60","414","251","","127","396","384","1537","116","154","486","272"
"2020-08-10","238","244","405","596","98","984","455","811","208","250","547","101","60","420","251","213","193","420","411","1770","121","157","493","289"
"2020-08-11","320","263","438","596","101","1098","475","944","260","276","571","","75","428","271","","211","453","449","1839","124","165","514","357"
"2020-08-12","347","326","501","913","117","1226","496","954","545","328","598","117","82","433","322","252","301","493","470","1995","177","222","524","445"
"2020-08-13","347","335","521","944","117","1609","534","954","547","336","622","121","101","464","322","252","306","513","480","2171","177","229","524","474"
"2020-08-14","397","335","580","1122","135","1674","548","963","572","336","649","123","101","484","326","252","306","591","482","2222","197","240","531","499"
"2020-08-15","397","","589","1122","137","1930","548","1000","572","336","664","129","134","522","334","","306","591","507","2225","208","255","573","502"
"2020-08-16","408","335","637","1122","137","1930","586","1000","572","344","691","133","159","607","","264","306","666","507","2432","208","281","573","502"
"2020-08-17","429","356","663","1155","142","1955","586","1023","585","348","720","142","220","636","345","287","307","726","513","2493","227","311","619","547"
"2020-08-18","467","356","695","1155","164","1986","611","1051","593","348","786","147","224","636","350","307","307","756","513","2504","227","319","624","570"
"2020-08-19","480","358","756","1435","165","2087","625","1051","602","372","828","147","264","645","350","307","307","791","535","2608","267","343","632","598"
"2020-08-20","535","358","831","1463","172","2137","699","1064","606","399","871","159","297","667","430","307","","867","550","2697","267","353","646","625"
"2020-08-21","550","365","885","1545","175","2459","709","1103","610","448","929","164","309","685","430","332","313","886","557","2943","271","356","678","657"
"2020-08-22","575","372","910","1608","183","2479","711","1121","610","476","961","168","329","689","430","347","313","929","600","3312","275","396","687","692"
"2020-08-23","600","413","931","1679","192","2927","724","1142","636","484","964","180","329","752","447","350","319","947","627","3382","275","403","694","726"
"2020-08-24","659","413","992","1750","193","3072","730","1243","642","489","992","180","336","769","519","370","331","1015","644","3464","298","443","730","738"
"2020-08-25","690","","1007","1831","203","3218","762","1251","659","509","1031","180","357","796","537","384","331","1078","696","3546","301","458","738","761"
"2020-08-26","716","425","1011","1873","203","3382","777","1324","666","530","1043","193","383","807","550","386","358","1151","712","3646","305","490","746","796"
"2020-08-27","782","425","1017","1930","230","3439","795","1324","680","542","1058","215","408","810","550","403","363","1199","746","3707","305","553","775","850"
"2020-08-28","812","437","1039","2203","247","3591","799","1324","685","545","1092","222","444","836","577","433","363","1251","762","3803","438","556","775","891"
"2020-08-29","847","447","1064","2363","250","3759","809","1398","692","574","1121","236","477","838","577","433","373","1290","786","4122","438","578","777","954"
"2020-08-30","947","447","1085","2457","254","4163","826","1431","704","574","1133","250","490","847","577","433","390","1312","796","4492","438","585","811","993"
"2020-08-31","974","447","1141","2485","270","4329","831","1431","710","574","1156","250","526","847","612","441","390","1358","796","4587","438","675","812","1050"
"2020-09-01","1023","457","1179","2543","275","4445","863","1625","727","580","1187","265","530","884","628","486","390","1416","871","4647","438","735","819","1123"
"2020-09-02","1067","468","1189","2554","281","4935","895","1669","727","600","1225","298","545","926","641","486","399","1437","952","5159","506","771","838","1166"
"2020-09-03","1135","479","1220","2619","452","5128","927","1769","742","626","1268","322","553","948","656","494","399","1437","1104","5215","540","771","866","1203"
"2020-09-04","1239","514","1288","2746","493","5344","975","1855","746","635","1292","343","557","983","673","528","404","1451","1193","5298","580","779","866","1248"
"2020-09-05","1368","617","1308","2796","504","5666","1028","1934","760","694","1300","350","564","1018","714","528","439","1497","1281","6374","617","787","868","1305"
"2020-09-06","1527","618","1317","2803","511","5994","1074","1956","788","694","1369","350","597","1077","714","558","440","1561","1398","7082","624","796","925","1398"
"2020-09-07","1717","618","1337","2833","528","6101","1124","2045","793","719","1435","361","655","1125","758","578","447","1615","1470","7368","627","881","926","1476"
"2020-09-08","1782","651","1367","2887","529","6305","1189","2123","804","735","1563","390","692","1149","787","607","485","1699","1522","7990","642","926","938","1587"
"2020-09-09","1782","657","1388","2899","529","6336","1237","2183","855","740","1601","464","696","1302","801","617","485","1741","1606","8351","770","979","953","1674"
"2020-09-10","2052","657","1420","2933","564","6781","1265","2183","883","764","1707","476","701","1398","856","617","485","1779","1634","8466","770","988","958","1765"
"2020-09-11","2269","696","1448","2952","574","6864","1323","2190","889","816","1747","482","743","1410","907","619","500","1813","1725","8795","770","1003","958","1822"
"2020-09-12","2578","725","1462","3009","587","7170","1346","2218","903","822","1779","490","808","1432","974","642","506","1855","1797","9060","834","1198","971","1895"
"2020-09-13","2587","752","1523","3059","605","7351","1369","2254","909","823","1838","505","835","1527","984","662","507","1900","1822","9630","834","1340","1001","1953"
"2020-09-14","2676","752","1586","3090","631","7770","1406","2365","918","892","1874","515","847","1569","1018","664","507","1955","1886","9962","834","1360","1012","2010"
"2020-09-15","2917","770","1626","3113","637","8052","1433","2491","929","935","1958","520","878","1591","1032","664","517","1981","1939","10291","962","1396","1052","2053"
"2020-09-16","2956","777","1694","3272","662","8132","1436","2539","955","935","2093","527","885","1603","1077","686","539","2020","1976","10985","982","1442","1056","2115"
"2020-09-17","2977","777","1723","3364","663","8395","1477","2557","976","980","2126","532","890","1673","1116","686","539","2020","2087","11431","982","1546","1064","2213"
"2020-09-18","2994","799","1753","3471","664","8467","1530","2579","997","1001","2180","536","906","1689","1116","704","553","2042","2276","11771","1037","1583","1096","2295"
"2020-09-19","3005","799","1829","3482","666","9038","1554","2601","1010","1056","2225","545","929","1690","1130","738","553","2077","2475","11999","1055","1681","1163","2384"
"2020-09-20","3014","799","1850","3505","671","9421","1594","2612","1050","1082","2265","555","961","1692","1130","738","553","2122","2689","12127","1066","1797","1171","2467"
"2020-09-21","3029","799","1967","3539","694","9823","1648","2618","1082","1102","2345","586","995","1741","1148","738","557","2165","2865","12386","1075","1868","1197","2563"
"2020-09-22","3077","836","2004","3607","704","10149","1671","2629","1104","1149","2430","586","1010","1749","1155","795","563","2233","2933","12690","1081","1933","1285","2641"
"2020-09-23","3104","836","2028","3718","711","10199","1696","2705","1125","1200","2507","586","1052","2049","1155","804","564","2287","3004","12975","1103","2095","1312","2731"
"2020-09-24","3185","843","2070","3804","718","10240","1759","2726","1155","1225","2546","609","1070","2313","1162","824","584","2365","3038","13204","1115","2252","1312","2813"
"2020-09-25","3220","952","2106","3925","733","10750","1801","2762","1195","1252","2599","614","1086","2316","1199","830","585","2413","3089","13388","1138","2290","1344","2915"
"2020-09-26","3227","952","2146","4048","744","11013","1835","2762","1261","1270","2728","630","1086","2316","1199","855","585","2437","3125","13706","1188","2326","1400","2987"
"2020-09-27","3236","955","2161","4146","745","11316","1882","2781","1310","1305","2768","639","1086","2333","1199","878","","2458","3142","13859","1188","2352","1404","3056"
"2020-09-28","3329","955","2200","4236","796","11473","1901","2783","1347","1340","2822","655","1087","2498","1241","896","585","2496","3192","14555","1231","2418","1435","3119"
"2020-09-29","3372","956","2241","4335","806","11566","1924","2812","1383","1381","2865","662","1168","2502","1242","902","605","2542","3224","15072","1231","2484","1437","3173"
"2020-09-30","3494","989","2252","4385","820","11768","1956","2909","1438","1408","2920","671","1187","2636","1257","927","","2555","3268","15457","1235","2522","1441","3229"
"2020-10-01","3535","989","2308","4493","833","11808","1985","2921","1468","1457","2976","693","1195","2649","1260","929","619","2555","3307","15905","1244","2559","1471","3289"
"2020-10-02","3549","989","2352","4556","857","12043","1996","2921","1498","1478","3010","703","1198","2649","1260","945","619","2591","3323","16216","1245","2613","1471","3333"
"2020-10-03","3664","1034","2408","4596","861","12289","2011","2941","1514","1510","3066","711","1210","2667","1265","950","619","2607","3363","16569","1249","2651","1471","3365"
"2020-10-04","3733","1068","2452","4625","868","12408","2053","2941","1564","1520","3105","722","1211","2705","1265","","619","2607","3383","16860","1253","2670","1498","3418"
"2020-10-05","3733","1068","2466","4725","892","12644","2101","2970","1589","1522","3157","726","1247","2750","1300","1009","619","2641","3413","17338","1256","2708","1501","3455"
"2020-10-06","3848","1095","2497","4777","909","12795","2113","3006","1599","1527","3194","728","1284","2781","1321","1013","632","2683","3449","17778","1268","2763","1509","3507"
"2020-10-07","3892","1095","2504","4835","917","12927","2127","3031","1623","1545","3232","732","1349","2786","1335","1013","670","2708","3471","18280","1268","2772","1511","3540"
"2020-10-08","3987","1117","2540","4899","936","13040","2140","3038","1637","1548","3274","763","1422","2903","1335","1044","703","2726","3488","18699","1271","2820","1556","3540"
"2020-10-09","4035","1117","2582","4948","943","13196","2147","3048","1653","1554","3351","778","1454","2917","1402","1108","711","2748","3500","19077","1314","2845","1571","3642"
"2020-10-10","4071","1144","2597","5007","963","13298","2152","3063","1663","1564","3426","781","1504","2937","1449","1223","712","2774","3518","19468","1327","2882","1575","3694"
"2020-10-11","4117","1144","2608","5051","964","13410","2170","3075","1683","1673","3477","787","1521","2937","1449","1224","","2774","3524","19712","1327","2898","1577","3744"
"2020-10-12","4177","1144","2627","5078","979","13516","2184","3098","1696","1683","3524","792","1528","2961","1472","1236","746","2792","3546","20020","1329","2914","1617","3789"
"2020-10-13","4239","1148","2637","5169","1006","13649","2222","3098","1711","1699","3552","801","1541","2966","1478","1238","751","2812","3567","20309","1334","2942","1620","3812"
"2020-10-14","4280","1148","2666","5354","1025","13722","2234","3098","1733","1704","3599","809","1560","2966","1490","1391","752","2812","3587","20603","1355","2969","1657","3840"
"2020-10-15","4312","1164","2682","5376","1036","13857","2239","3129","1744","1722","3635","816","1578","2997","1509","1395","758","2812","3610","20956","1364","3004","1657","3875"
"2020-10-16","4354","1181","2689","5414","1051","13939","2265","3185","1755","1735","3659","846","1589","2997","1522","1395","758","2812","3627","21274","1375","3022","1680","3921"
"2020-10-17","4387","1187","2695","5426","1059","13994","2276","3185","1771","1735","3685","866","1612","3009","1522","1401","770","2830","3643","21455","","3033","1680","3950"
"2020-10-18","4434","","2703","5441","1064","14043","2294","3185","1774","1739","3695","866","1638","3011","1535","1412","777","2841","3649","21628","1383","3043","1680","3976"
"2020-10-19","4458","1214","2728","5470","1069","14103","2304","3185","1784","1757","3730","867","1664","3020","1551","1420","","2851","3676","21966","1424","3058","1690","4001"
"2020-10-20","4490","1222","2754","5487","1081","14153","2310","3187","1794","1777","3742","875","1667","3020","1558","1435","785","2895","3679","22241","1429","3069","1690","4032"
"2020-10-21","4578","","2770","5494","1084","14199","2315","3187","1806","1792","3763","878","1711","3024","1578","1435","788","2913","3712","22466","1431","3082","1707","4056"
"2020-10-22","4665","","2780","5517","1094","14247","2324","3187","1818","1817","3777","878","1715","3072","1615","1444","788","2932","3746","22637","1437","3096","1715","4093"
"2020-10-23","4692","1222","2808","5543","1095","14297","2327","3191","1828","1832","3803","883","1740","3106","1627","1444","","2943","3758","22796","1439","3111","1717","4125"
"2020-10-24","4721","1222","2825","5575","1096","14340","2340","","1829","1853","3820","885","1740","3167","1640","1474","797","","3758","22929","1447","3124","1718","4151"
"2020-10-25","4756","1222","2836","5606","1096","14372","2352","","1839","1864","3833","900","1752","3192","1651","1474","799","","3768","23017","1449","3140","1739","4172"
"2020-10-26","4821","1229","2870","5624","","14411","2360","","1854","1864","3851","903","1781","3194","1659","1474","805","","3780","23109","1452","3153","1740","4191"
"2020-10-27","4850","","2884","5666","1108","14442","2375","3193","1856","1879","3879","920","1792","3196","1672","1474","806","2955","3820","23288","1452","3167","1740","4218"
"2020-10-28","4899","1246","2903","5702","1127","14472","2382","3194","1864","1904","3891","921","1792","3196","1681","1501","808","2965","3861","23390","1460","3179","1740","4235"
"2020-10-29","4938","","2920","5725","1144","14516","2390","3197","1867","1924","3905","943","1805","3199","1686","1510","810","2973","3873","23499","1466","3197","1791","4250"
"2020-10-30","4992","","2932","5756","1150","14544","2400","3199","1875","1939","3912","978","1810","3206","1686","","815","2973","3881","23637","1468","3210","1803","4273"
"2020-10-31","5051","1246","2957","5770","1159","14594","2403","3204","1884","1939","3919","982","1834","3206","1686","1510","815","2987","3886","23738","1470","3226","1808","4288"
"2020-11-01","5097","1246","2970","5840","1161","14623","2416","3205","1895","1949","3924","988","1843","3208","1686","1513","815","2995","3892","23878","","3236","1808","4302"
"2020-11-02","5123","1253","2988","5930","1178","14688","2427","3211","1902","1959","3947","991","1871","3208","1686","1534","","3005","3899","24016","1471","3248","","4314"
"2020-11-03","5198","1259","3010","6012","1179","14723","2437","3234","1906","1965","3952","992","1880","3208","1687","1544","","3005","3909","24172","1471","3262","1817","4325"
"2020-11-04","5233","1259","3034","6110","1192","14785","2441","3248","1906","1980","3973","992","1892","3223","1689","1550","","3012","3914","24308","1471","3280","1826","4334"
