"date","Uttarakhand/Almora","Uttarakhand/Bageshwar","Uttarakhand/Chamoli","Uttarakhand/Champawat","Uttarakhand/Dehradun","Uttarakhand/Haridwar","Uttarakhand/Nainital","Uttarakhand/Pauri Garhwal","Uttarakhand/Pithoragarh","Uttarakhand/Rudraprayag","Uttarakhand/Tehri Garhwal","Uttarakhand/Udham Singh Nagar","Uttarakhand/Uttarkashi"
"2020-05-18","","","","","  5.00 %","","  6.67 %","","","","",""," ##.## %"
"2020-05-19","","   .00 %","   .00 %","","",""," 43.75 %"," ##.## %","","",""," 15.00 %",""
"2020-05-20"," 50.00 %","","","","   .00 %"," 14.29 %","  8.70 %","","","","   .00 %"," 17.39 %"," 50.00 %"
"2020-05-21"," 33.33 %"," ##.## %","","",""," 25.00 %","  8.00 %","","","","","  7.41 %"," ##.## %"
"2020-05-22","","-45.45 %","",""," 16.67 %"," 20.00 %","  3.70 %","","","","","  6.90 %"," 16.67 %"
"2020-05-23"," 75.00 %","","","   .00 %"," 18.37 %"," 16.67 %"," ##.## %"," 50.00 %","   .00 %","   .00 %","","  9.68 %"," 42.86 %"
"2020-05-24"," 71.43 %"," 33.33 %"," ##.## %"," 14.29 %"," 20.69 %",""," 37.65 %"," 16.67 %","",""," 50.00 %"," 26.47 %","   .00 %"
"2020-05-25","",""," 22.22 %","","  1.43 %"," 64.29 %","  7.69 %"," 42.86 %"," 50.00 %",""," 22.22 %"," 11.63 %",""
"2020-05-26"," 25.00 %","","","","  4.23 %"," 21.74 %","  7.94 %",""," ##.## %",""," ##.## %","  4.17 %",""
"2020-05-27"," 40.00 %","","","","  5.41 %"," 25.00 %","  1.47 %"," ##.## %"," 17.65 %",""," ##.## %"," 14.00 %",""
"2020-05-28"," 14.29 %","","",""," 11.54 %"," 22.86 %","   .72 %","","",""," 19.23 %","",""
"2020-05-29"," 87.50 %"," ##.## %","",""," 82.76 %"," 11.63 %"," 61.15 %"," 21.74 %","  5.00 %"," 66.67 %"," 12.90 %","  8.77 %"," 40.00 %"
"2020-05-30","","","",""," 13.21 %","  6.25 %","  2.23 %","","","","  5.71 %","",""
"2020-05-31"," 40.00 %",""," 18.18 %"," 50.00 %"," 27.22 %"," 33.33 %"," 13.54 %"," 21.43 %",""," 20.00 %","  4.05 %"," 32.26 %"," 50.00 %"
"2020-06-01",""," 31.25 %",""," ##.## %","  3.93 %"," 11.76 %","  1.15 %","   .00 %"," 28.57 %","","","   .00 %","   .00 %"
"2020-06-02","   .00 %","   .00 %"," 46.15 %","   .00 %"," 15.13 %","  1.32 %","  8.37 %","  8.82 %",""," 33.33 %"," 18.18 %","   .00 %",""
"2020-06-03","",""," 31.58 %","","  3.28 %"," 11.69 %","  5.26 %","  2.70 %","  3.70 %","","   .00 %","  1.22 %",""
"2020-06-04","  1.59 %","  9.52 %","","  9.09 %"," 12.72 %","","  3.33 %"," 10.53 %","   .00 %",""," 10.99 %","  1.20 %","  4.76 %"
"2020-06-05","  7.81 %","   .00 %","  8.00 %","  8.33 %","  7.21 %","  1.16 %","  1.29 %","  2.38 %",""," ##.## %","  7.92 %","  1.19 %",""
"2020-06-06","  5.80 %"," 17.39 %"," 22.22 %"," 15.38 %","  3.22 %"," 24.14 %","  2.23 %","   .00 %"," 57.14 %","","  8.26 %","  3.53 %","  4.55 %"
"2020-06-07","   .00 %"," 22.22 %","","  2.22 %","  3.12 %"," 25.00 %","   .62 %","   .00 %","","","  2.54 %","  2.27 %","   .00 %"
"2020-06-08","   .00 %","  6.06 %","  3.03 %","  4.35 %","  1.65 %","  6.67 %","   .31 %","  9.30 %","   .00 %","  9.09 %"," 23.14 %","  1.11 %",""
"2020-06-09","  1.37 %"," 14.29 %","   .00 %","","  5.68 %","  4.86 %","  1.23 %","  8.51 %"," 15.91 %"," 16.67 %"," 48.32 %","","  4.35 %"
"2020-06-10","   .00 %","","   .00 %","   .00 %","  1.79 %","  1.99 %","  1.83 %","  1.96 %","","  3.57 %","   .90 %","  4.40 %","  4.17 %"
"2020-06-11","","","  8.82 %","","  7.29 %"," 10.39 %","","  1.92 %","   .00 %"," 20.69 %"," 14.80 %","  4.21 %","  4.00 %"
"2020-06-12","   .00 %","","  8.11 %","   .00 %","  3.98 %"," 17.65 %","","   .00 %",""," 20.00 %","  1.17 %","  9.09 %",""
"2020-06-13","","","  7.50 %","   .00 %","  2.70 %","  2.00 %",""," 16.98 %","","  2.38 %","  8.88 %","  4.63 %"," 15.38 %"
"2020-06-14","   .00 %","   .00 %","  2.33 %","   .00 %","  3.07 %","  2.45 %","   .30 %","","","","  3.19 %","   .88 %"," 10.00 %"
"2020-06-15","  1.35 %","  5.00 %","   .00 %","   .00 %","  1.28 %","   .96 %","   .90 %","  4.84 %","  3.92 %","  6.98 %","  1.03 %","   .00 %","  3.03 %"
"2020-06-16"," 13.33 %","","","","  3.78 %"," 12.80 %","   .59 %","  9.23 %"," 13.21 %","","  4.76 %","  7.02 %"," 14.71 %"
"2020-06-17"," 16.47 %"," 11.90 %","   .00 %","","  7.09 %","  1.26 %","  2.35 %","  1.41 %","","  4.35 %","  2.92 %","  2.46 %","  2.56 %"
"2020-06-18"," 13.13 %","   .00 %","  6.82 %","","  5.29 %","  2.07 %","  1.72 %"," 26.39 %","","  8.33 %","   .32 %","","  2.50 %"
"2020-06-19"," 12.50 %"," 14.89 %","   .00 %","","   .72 %","  3.25 %","  1.98 %","  2.20 %","  6.67 %","   .00 %","  8.81 %","",""
"2020-06-20","  8.73 %","  9.26 %"," 14.89 %","","  6.06 %","  1.97 %","  1.39 %","  2.15 %","","  7.69 %","  6.94 %","  9.60 %"," 36.59 %"
"2020-06-21","   .73 %","   .00 %"," 16.67 %","","  1.01 %","  4.63 %","","  4.21 %","","  7.14 %","  1.62 %","","  1.79 %"
"2020-06-22","  7.97 %","   .00 %","   .00 %","","   .33 %","  6.27 %","   .55 %"," 10.10 %","","   .00 %","   .27 %"," 10.95 %",""
"2020-06-23","  9.40 %","  6.78 %","  6.35 %","  4.17 %","  3.98 %","  3.12 %","  2.17 %"," 18.35 %","","  3.33 %","  3.98 %"," 17.11 %","  8.77 %"
"2020-06-24","   .00 %","  7.94 %","   .00 %","  2.00 %","  2.55 %","  2.02 %","  1.86 %","  6.98 %","  1.56 %","","  4.34 %"," 14.61 %",""
"2020-06-25","  1.23 %","  8.82 %","","","  1.09 %","  3.30 %","  7.31 %","  1.45 %","","","   .24 %","  5.39 %","  1.61 %"
"2020-06-26","   .00 %","   .00 %","  2.99 %","  1.96 %","   .62 %","","  3.41 %","","","","","  6.05 %","   .00 %"
"2020-06-27","  6.67 %","  9.46 %","  2.90 %","  1.92 %","  1.22 %","","  6.82 %","   .71 %","","  4.84 %","   .49 %","   .44 %","  1.59 %"
"2020-06-28","   .00 %","","  2.82 %","  1.89 %","  1.51 %","   .00 %","  3.08 %","   .00 %","","  1.54 %","   .97 %","   .00 %",""
"2020-06-29","   .00 %","   .00 %","   .00 %","","   .60 %","","   .43 %","   .00 %","   .00 %","   .00 %","   .00 %","   .87 %","   .00 %"
"2020-06-30","","  2.47 %","  1.37 %","  1.85 %","  1.63 %","   .00 %","   .85 %","   .71 %","","   .00 %","   .00 %"," 12.12 %","  3.12 %"
"2020-07-01","  2.84 %","   .00 %","","  3.64 %","  2.91 %","   .64 %","  4.64 %","   .00 %","   .00 %","","   .96 %","   .77 %"," 13.64 %"
"2020-07-02","   .55 %","   .00 %","","","   .14 %","   .00 %","  3.43 %","   .70 %","  1.54 %","   .00 %","   .00 %","  6.13 %","   .00 %"
"2020-07-03","  4.40 %","  3.61 %","  2.70 %","  3.51 %","  2.97 %","   .63 %","  2.53 %","   .00 %","  1.52 %","","   .00 %","  4.33 %",""
"2020-07-04","  1.05 %","  6.98 %","","","  1.10 %","   .32 %","   .76 %","   .70 %","","","   .24 %","  5.88 %","  6.67 %"
"2020-07-05","   .52 %","  1.09 %","   .00 %","","  1.63 %","   .31 %","  1.32 %","   .69 %","","","","  1.31 %","  5.00 %"
"2020-07-06","  1.55 %","   .00 %","   .00 %","   .00 %","   .53 %","  1.57 %","   .74 %","  1.38 %","   .00 %","   .00 %","  -.24 %","  6.45 %",""
"2020-07-07","  1.02 %","   .00 %","   .00 %","  3.39 %","  2.39 %","  2.16 %","   .92 %","  2.04 %","  4.48 %","","   .24 %","  7.58 %","  1.19 %"
"2020-07-08","   .00 %","","   .00 %","   .00 %","  1.17 %","  1.81 %","   .37 %","  2.67 %","   .00 %","","","   .85 %","  7.06 %"
"2020-07-09","   .00 %","   .00 %","","  3.28 %","  2.56 %","   .00 %","  2.19 %","  3.25 %","","","  1.19 %","   .84 %","   .00 %"
"2020-07-10","","   .00 %","","  3.17 %","  1.38 %","  2.08 %","   .71 %","   .63 %","","","   .23 %"," 11.36 %","  1.10 %"
"2020-07-11","  1.52 %","","  1.32 %","","  2.47 %","   .87 %","   .00 %","","","  1.52 %","   .47 %","  3.48 %",""
"2020-07-12","","  2.15 %","","  9.23 %","  4.21 %","  5.19 %","  2.30 %","  2.50 %","","","   .47 %","  9.62 %","   .00 %"
"2020-07-13","  1.00 %","","  1.30 %","","   .81 %","  3.01 %","  1.04 %","  3.05 %","","","   .23 %","  8.33 %",""
"2020-07-14","","","","","  1.26 %","  6.12 %","   .00 %","  1.78 %","","","  1.16 %","  6.88 %","  2.17 %"
"2020-07-15","   .00 %","","","  1.41 %","  5.32 %","  1.25 %","  4.12 %","   .58 %"," 10.00 %","","","  1.14 %","  8.51 %"
"2020-07-16","   .00 %","","  3.85 %","  1.39 %","  2.69 %","  7.43 %","  5.60 %","  1.73 %","","","  2.29 %"," 17.04 %",""
"2020-07-17","   .49 %","","","  1.37 %","  3.97 %","  4.84 %","  1.09 %","  3.41 %","","","","  7.36 %","   .00 %"
"2020-07-18","  3.43 %","   .00 %","","   .00 %","  5.03 %","  5.93 %","  5.56 %","","  3.90 %","   .00 %","   .67 %","  6.71 %","  2.94 %"
"2020-07-19","   .47 %","","  1.23 %","","  5.56 %"," 31.12 %","  1.02 %","  2.20 %","","","","  1.82 %","  4.76 %"
"2020-07-20","  1.42 %","","   .00 %","","   .64 %"," 15.03 %","  1.30 %","   .00 %","","","  1.33 %","   .00 %","  6.36 %"
"2020-07-21","  2.33 %","","","  2.70 %","  5.77 %","  6.88 %","  2.14 %","   .00 %","   .00 %","","  4.61 %","  4.66 %"," 13.68 %"
"2020-07-22","  1.82 %","","   .00 %","   .00 %","  3.67 %"," 26.25 %"," 10.21 %","  2.15 %","  6.25 %","","  2.31 %"," 12.84 %","  6.77 %"
"2020-07-23","  1.34 %","","   .00 %","","  5.59 %","  3.26 %","  3.93 %","","   .00 %","","   .82 %","   .00 %","  4.93 %"
"2020-07-24"," 13.66 %","",""," 14.47 %","  2.34 %","  2.86 %","  9.40 %","","  2.35 %","  1.49 %","   .00 %"," 10.45 %","   .67 %"
"2020-07-25","  2.33 %","  3.16 %",""," 10.34 %","  5.48 %","  5.85 %","  3.35 %","  3.16 %"," 20.69 %","","   .81 %","  2.42 %","  8.00 %"
"2020-07-26","  1.14 %","","  1.22 %","   .00 %","  3.32 %","  2.36 %","   .54 %","  1.53 %","","  1.47 %","   .20 %","  5.24 %","  3.70 %"
"2020-07-27","  1.12 %","","   .00 %","","   .70 %"," 10.45 %","  5.16 %","   .00 %","  2.86 %","  1.45 %","   .20 %","  2.93 %","  5.95 %"
"2020-07-28","  3.70 %","  1.02 %","  2.41 %","  5.21 %","  2.29 %","  3.37 %","  4.60 %","","","","  2.61 %"," 10.24 %","   .00 %"
"2020-07-29","  6.43 %","","","   .99 %","  3.39 %","  5.74 %","  1.95 %","  1.51 %"," 24.07 %","","   .20 %","  6.96 %","  2.81 %"
"2020-07-30","   .34 %","  2.02 %","  7.06 %"," 16.67 %","  4.85 %","  3.45 %","  2.49 %","  1.98 %","  6.72 %","  4.29 %","","   .24 %","  3.83 %"
"2020-07-31","  1.00 %","   .99 %","  1.10 %","","  3.44 %","   .43 %","  3.18 %","  1.94 %","","  4.11 %","   .98 %","   .40 %","   .53 %"
"2020-08-01","  1.32 %"," 30.39 %","","  3.36 %","  1.63 %","  2.97 %","  8.61 %","  1.90 %","  4.90 %","  1.32 %","   .39 %","  2.40 %","  8.90 %"
"2020-08-02","   .33 %","","  5.43 %","","  3.03 %","  1.92 %","  2.75 %","   .93 %","   .00 %","  2.60 %","   .39 %","   .78 %","  5.77 %"
"2020-08-03","  1.63 %","","","  1.63 %","  2.19 %","  6.80 %","  3.81 %","  2.78 %","","  1.27 %","   .19 %","   .08 %","  2.27 %"
"2020-08-04","   .96 %","","  1.03 %","  8.00 %","  2.71 %","  1.45 %","   .78 %","  2.70 %"," 21.33 %","  1.25 %","   .57 %","  4.87 %","  3.56 %"
"2020-08-05","   .63 %","   .75 %","  3.06 %","   .74 %","  2.59 %","  1.24 %","  3.88 %","  3.95 %","   .00 %","  7.41 %","   .95 %","  2.65 %"," 28.33 %"
"2020-08-06","  1.58 %"," 15.67 %","  8.91 %","   .00 %","  3.65 %","  6.69 %","  2.46 %","   .84 %","  1.10 %","   .00 %","  5.66 %","  4.02 %"," 11.37 %"
"2020-08-07","","","   .91 %","  5.15 %","  1.09 %","  4.20 %","  2.48 %"," 10.46 %","  3.26 %","  4.60 %","  2.86 %","  5.87 %","  1.80 %"
"2020-08-08","","  6.45 %","   .90 %","   .70 %","  1.94 %","  9.49 %","  6.05 %","  3.41 %","  1.58 %","  2.20 %","   .69 %"," 11.15 %","  1.47 %"
"2020-08-09","   .00 %","   .00 %","   .89 %","  4.86 %","  1.71 %","  6.40 %","  1.07 %","  1.10 %","   .00 %","  8.60 %","  1.90 %","  1.12 %","  1.16 %"
"2020-08-10","  1.86 %","   .00 %","  5.31 %","  1.99 %","  2.02 %","  8.43 %","  1.66 %","   .00 %","  5.18 %","   .99 %","  1.18 %","  6.38 %","   .57 %"
"2020-08-11"," 10.98 %","   .00 %","   .00 %","  5.19 %","  3.97 %","  6.25 %","  3.20 %","  3.26 %","   .00 %","  2.94 %","  6.52 %","  1.75 %","  2.86 %"
"2020-08-12","   .82 %","  1.82 %"," 30.25 %","  7.41 %","  3.82 %","  5.72 %","  1.77 %","  1.75 %","  3.45 %","  2.86 %","  2.67 %","  6.38 %","   .00 %"
"2020-08-13","   .27 %","  5.36 %","   .00 %","  9.20 %","  1.61 %","  4.16 %","   .93 %","  1.72 %","","  3.70 %","  2.45 %","  9.68 %","  4.17 %"
"2020-08-14","   .00 %","  1.13 %","   .65 %","  2.63 %","  3.22 %","  4.56 %","  3.33 %","   .34 %","   .95 %","","  3.43 %","  1.10 %","  1.60 %"
"2020-08-15","  2.45 %","","  8.33 %","  1.03 %","  1.45 %","  4.82 %","  3.69 %","  1.01 %","   .47 %"," 24.11 %","  2.31 %","  1.05 %","   .00 %"
"2020-08-16","   .80 %","   .00 %"," 14.79 %","  1.52 %","  2.06 %","  1.87 %","  1.21 %","  1.00 %","","","  4.51 %","   .94 %","  6.04 %"
"2020-08-17","","  1.12 %","   .52 %","   .50 %","   .41 %","  3.65 %","  1.31 %","   .00 %","   .47 %"," 29.50 %","  2.02 %","  1.69 %"," 19.06 %"
"2020-08-18","  1.05 %","  5.52 %","   .00 %"," 10.95 %","  4.07 %","  2.19 %","  5.49 %"," 12.91 %","   .47 %","-15.56 %","  5.56 %","  4.60 %","  1.66 %"
"2020-08-19","","   .00 %","  9.74 %","  1.35 %","  4.66 %","  1.23 %","  3.19 %","  3.81 %","","   .66 %","   .38 %","   .29 %","   .20 %"
"2020-08-20","   .52 %","   .52 %","  4.21 %","   .88 %","  3.28 %","  3.59 %","  2.42 %","  1.69 %","","","  2.12 %","  5.22 %",""
"2020-08-21","  3.63 %","  1.04 %","  2.24 %","  3.95 %","  3.47 %","  3.04 %","  2.51 %","  3.06 %","  2.79 %","   .65 %","   .73 %","  4.21 %","  8.37 %"
"2020-08-22","  4.75 %","  1.03 %","  1.75 %","   .42 %","  2.90 %","  3.89 %","  4.76 %","   .81 %","  2.26 %","  7.79 %","   .36 %","  3.09 %","  7.72 %"
"2020-08-23","   .95 %","  3.06 %","  3.88 %","  1.68 %","  2.26 %","  2.98 %","   .66 %","  4.81 %","  1.33 %","  6.02 %","   .73 %","  9.20 %"," 11.01 %"
"2020-08-24"," -1.65 %","   .50 %","  1.24 %","   .83 %","   .91 %","  3.58 %","  3.07 %","  2.55 %","","   .57 %","  3.00 %","  4.20 %","  3.46 %"
"2020-08-25","   .00 %","  2.96 %","","  2.46 %","  3.99 %","  3.32 %","  1.76 %","  2.49 %","","  5.65 %","  4.43 %","  2.92 %","  6.09 %"
"2020-08-26","   .00 %","  6.22 %","  9.02 %","  8.00 %","  5.44 %","  2.04 %","  3.59 %","  6.07 %","  3.06 %","  1.07 %","  4.02 %","  2.02 %","  2.15 %"
"2020-08-27"," 10.58 %","  6.31 %","   .38 %","  1.11 %","  4.55 %","  4.38 %","  5.22 %","   .69 %"," 16.10 %","  3.70 %","  5.26 %","  2.38 %","  6.32 %"
"2020-08-28","  2.83 %","  5.08 %"," 21.72 %","  2.20 %","  5.37 %","  2.88 %","  2.24 %","  4.09 %","  4.38 %","  2.55 %","  2.65 %","  2.18 %","   .79 %"
"2020-08-29"," 11.42 %","  6.45 %","  1.54 %","  2.15 %","  4.93 %","  3.75 %","  1.79 %","  1.31 %","  3.85 %","  1.00 %","  6.36 %","  4.08 %","  2.49 %"
"2020-08-30","  5.12 %","  1.52 %","  7.27 %","  1.75 %","  3.15 %","  2.83 %","  1.52 %","  4.31 %"," 12.12 %","  3.94 %","  2.43 %","  5.20 %","  5.88 %"
"2020-08-31","  1.81 %","  2.24 %","   .00 %","  4.48 %","  3.79 %","  3.01 %","  3.81 %","  2.69 %","  1.80 %","  3.32 %","  4.74 %","  1.57 %","  4.95 %"
"2020-09-01","  5.14 %","  2.55 %","   .85 %","  8.25 %","  4.14 %","  1.34 %","  3.93 %","  4.43 %","","  2.75 %","  3.66 %","  2.10 %","  2.30 %"
"2020-09-02","  5.73 %","  1.78 %","  1.96 %","  3.66 %","  4.33 %","  4.60 %","  3.46 %","  6.17 %","  8.26 %"," 14.29 %","  3.53 %","  2.92 %","  3.49 %"
"2020-09-03","  7.66 %","   .35 %","   .27 %","  5.88 %","  6.14 %","  2.70 %","  3.62 %","  5.63 %","  7.63 %","  9.38 %","  3.00 %","  4.91 %","  5.43 %"
"2020-09-04","  5.04 %","  3.48 %","   .82 %","  6.67 %","  4.36 %","  3.17 %","  4.36 %"," 14.60 %","  3.29 %","  4.64 %","  5.98 %","  1.52 %","  1.13 %"
"2020-09-05","  4.51 %","  2.36 %","  8.15 %","  3.65 %","  4.60 %","  2.51 %","  3.60 %"," 10.64 %","  1.96 %","  5.80 %","  4.09 %","  4.16 %","  7.03 %"
"2020-09-06","   .00 %","  1.97 %","  4.52 %","","  4.58 %","  1.90 %","  1.20 %","  5.15 %","  5.05 %"," 10.00 %","  3.85 %","  1.57 %","  5.14 %"
"2020-09-07","  1.75 %","  2.26 %","  2.88 %","  4.77 %","  4.49 %","  1.32 %","  4.32 %"," 10.82 %","  1.60 %","  4.40 %","  2.82 %","  2.65 %","  3.17 %"
"2020-09-08","  3.18 %","  4.42 %","  1.40 %","  5.52 %","  4.42 %","  1.46 %","  3.27 %","  1.05 %","  3.60 %","  3.09 %","  2.21 %","  1.23 %","  2.11 %"
"2020-09-09","  4.50 %","   .00 %","  7.37 %"," 11.59 %","  4.28 %","  2.50 %","  1.02 %","  7.83 %","  5.87 %"," 13.35 %","  5.36 %","  6.94 %","  1.98 %"
"2020-09-10","  2.95 %","  5.44 %","  5.15 %","   .00 %","  4.50 %","  2.69 %","  3.30 %","  6.19 %","  8.42 %","  7.21 %","  1.30 %","  5.01 %","   .08 %"
"2020-09-11","  1.67 %","  2.01 %","  1.63 %","  2.04 %","  4.40 %","  2.69 %","  2.98 %","  4.32 %","  7.39 %","  1.12 %","  1.78 %","  5.22 %","  1.43 %"
"2020-09-12","   .94 %","  3.65 %","  2.81 %","  2.00 %","  4.35 %","  4.37 %","  2.89 %","  2.99 %"," 11.99 %","  5.54 %","  2.77 %","  3.29 %","  4.24 %"
"2020-09-13","  1.86 %","  3.52 %","  1.37 %","  6.26 %","  8.96 %","  4.95 %","  5.39 %","  5.33 %","  5.35 %","  2.52 %","  1.58 %","  4.25 %","  3.75 %"
"2020-09-14","   .80 %","   .79 %","  6.94 %","  3.68 %","  5.08 %","  3.32 %","  1.11 %","  2.04 %","  2.84 %","  1.02 %","  1.38 %","  3.64 %","  2.84 %"
"2020-09-15","   .00 %","   .00 %","  1.26 %","  4.09 %","  5.29 %","  3.15 %","  5.42 %","  3.31 %","  4.36 %","  5.48 %","  1.76 %","  5.21 %","  3.81 %"
"2020-09-16"," 11.00 %"," 21.82 %","  5.52 %","   .00 %","  5.12 %","  5.06 %","  2.68 %","  4.30 %","  7.66 %","  1.35 %","   .67 %","  3.83 %","  3.38 %"
"2020-09-17","  3.06 %","  2.77 %"," 11.30 %","  1.54 %","  4.88 %","  1.98 %","  4.50 %","  4.20 %","  6.34 %","  2.85 %","  1.05 %","  1.76 %","  2.71 %"
