"date","Meghalaya/East Garo Hills","Meghalaya/East Jaintia Hills","Meghalaya/East Khasi Hills","Meghalaya/North Garo Hills","Meghalaya/RiBhoi","Meghalaya/Ribhoi","Meghalaya/South Garo Hills","Meghalaya/South West Garo Hills","Meghalaya/South West Khasi Hills","Meghalaya/West Garo Hills","Meghalaya/West Jaintia Hills","Meghalaya/West Khasi Hills"
"2020-07-24","","","  5.42 %","",""," 12.87 %","","","",""," 23.33 %",""
"2020-07-25",""," 63.33 %","  6.82 %","","","","","","",""," 24.87 %",""
"2020-07-26",""," 73.33 %","  7.54 %","",""," 11.23 %","","","",""," 26.30 %",""
"2020-07-27",""," 56.00 %","  7.00 %"," 23.33 %",""," 22.49 %","","  4.90 %",""," 16.14 %","",""
"2020-07-28","","","  7.62 %","","","","","",""," 11.94 %"," 26.30 %"," 61.67 %"
"2020-07-29","","","  5.43 %"," 23.33 %",""," 22.15 %","","","","  9.48 %","",""
"2020-07-30","","","  3.63 %","","","","","",""," 10.91 %"," 14.08 %",""
"2020-07-31","","","  2.83 %","",""," 18.26 %"," 21.67 %","","","","",""
"2020-08-01",""," 37.18 %","  3.21 %","",""," 18.93 %","","","","  8.24 %","  9.13 %"," 66.67 %"
"2020-08-02",""," 28.29 %","  2.35 %","",""," 15.62 %","","","","","",""
"2020-08-03","","","  2.89 %","","","  2.81 %","","","","","  9.59 %",""
"2020-08-04","","","  2.66 %","","","  2.78 %","","  4.90 %","","  3.14 %",""," 94.67 %"
"2020-08-05","","","  2.58 %","","","  2.78 %","","  9.90 %","","  3.03 %","",""
"2020-08-06","","","  2.24 %","","","  5.83 %","","",""," 10.83 %","  9.07 %",""
"2020-08-07",""," 16.01 %","  2.15 %","","","  5.30 %","","","","  9.85 %","  5.07 %"," 36.33 %"
"2020-08-08","","","  1.85 %"," 43.33 %","","  4.25 %","","",""," 10.52 %","  3.96 %",""
"2020-08-09","","  6.01 %","  2.09 %","","","  7.31 %","","","","","",""
"2020-08-10","","","  1.86 %","","","  7.59 %","","",""," 28.06 %","",""
"2020-08-11","","","  1.60 %"," 33.33 %","","  4.97 %","","",""," 28.98 %","  3.78 %"," 41.33 %"
"2020-08-12","","  4.34 %","  1.87 %"," 26.67 %","","  4.77 %"," 25.67 %","",""," 21.77 %",""," 34.67 %"
"2020-08-13","","","  1.86 %"," 36.19 %","","  4.77 %","","","","","",""
"2020-08-14","","  3.16 %","  1.70 %","","","","","  9.05 %",""," 25.17 %","",""
"2020-08-15","","","  1.84 %"," 41.19 %","","  2.68 %"," 15.67 %","",""," 29.32 %","  1.78 %",""
"2020-08-16","","","  2.10 %","","","  4.12 %","","",""," 19.14 %","   .87 %",""
"2020-08-17","","  3.01 %","  2.42 %","","","","","",""," 17.82 %","   .87 %",""
"2020-08-18","","  2.86 %","  2.68 %","","","  3.36 %","","  3.36 %",""," 16.37 %","",""
"2020-08-19","","  4.60 %","  3.36 %"," 25.19 %","","  3.23 %","","",""," 14.84 %","",""
"2020-08-20","","","  5.00 %","","","  3.89 %","","",""," 10.35 %","  1.70 %",""
"2020-08-21","","","  5.13 %","","","  2.83 %","","","","  4.51 %","  1.63 %"," 55.82 %"
"2020-08-22","","  6.80 %","  5.38 %"," 18.52 %","","  1.33 %","","","","  4.92 %","  1.63 %"," 34.49 %"
"2020-08-23","","  8.87 %","  5.86 %"," 16.62 %","","  1.31 %"," 49.00 %","","","  4.93 %",""," 40.82 %"
"2020-08-24","","  7.92 %","  5.70 %","","","  1.72 %","","","","","  1.63 %"," 40.82 %"
"2020-08-25","","","  4.08 %"," 15.10 %","","  1.36 %","","","","  3.05 %","  2.40 %",""
"2020-08-26"," 85.00 %","","  3.96 %","","","  -.35 %","","  8.82 %","","  2.56 %","",""
"2020-08-27"," ##.## %","","  3.25 %"," 11.35 %","","  -.57 %"," 43.58 %"," 12.15 %","","  3.64 %","  1.57 %",""
"2020-08-28"," ##.## %","  8.88 %","  2.85 %"," 10.87 %","","  -.67 %","","","","  4.44 %",""," 41.18 %"
"2020-08-29","","","  2.34 %","  7.54 %",""," -1.08 %"," 40.94 %","","","  4.68 %","",""
"2020-08-30"," ##.## %","  9.43 %","  2.29 %","","","  -.74 %"," 37.99 %","  7.15 %","","  4.76 %","",""
"2020-08-31","","  8.28 %","  2.01 %","  5.11 %","","   .97 %","","  6.58 %","","  4.55 %",""," 15.37 %"
"2020-09-01"," ##.## %","","  2.28 %","","","  1.49 %"," 39.99 %","","","  3.61 %","",""
"2020-09-02"," 61.50 %"," 10.40 %","  2.15 %","","","  2.90 %","  9.38 %","","","  2.44 %","",""
"2020-09-03","","","  2.74 %","  3.78 %","","  4.12 %","  9.73 %","","","  2.33 %","  1.51 %","  8.71 %"
"2020-09-04",""," 11.94 %","  2.83 %","  4.63 %","","  5.86 %","  8.12 %","","","  3.06 %","  5.80 %","   .71 %"
"2020-09-05"," 23.41 %","","  4.02 %","  3.01 %","","  8.21 %","","","","  3.36 %","","  1.05 %"
"2020-09-06",""," 11.13 %","  3.69 %","  6.49 %","","  7.76 %","  9.93 %","  6.10 %","","  4.86 %","  6.38 %",""
"2020-09-07","  7.60 %","  9.53 %","  3.23 %","  8.23 %","","  6.34 %","  8.55 %","","","  5.05 %","  7.33 %","  1.03 %"
"2020-09-08","  5.10 %","","  2.55 %","","","  5.19 %","","  9.85 %","","  4.79 %","  7.33 %",""
"2020-09-09","  4.11 %"," 26.82 %","  2.36 %","  8.23 %","","  2.94 %","  8.25 %","  6.51 %","","  4.58 %","","  1.02 %"
"2020-09-10",""," 27.13 %","  1.39 %","","","  1.24 %","","  7.56 %","","  4.69 %","  7.11 %","  1.35 %"
"2020-09-11","  3.64 %"," 29.27 %","  1.99 %","  8.27 %","","  1.17 %","","  9.14 %","","  3.44 %","  3.34 %","  1.99 %"
"2020-09-12","   .39 %"," 29.00 %","  3.10 %","","","  1.89 %","","","","  3.54 %","","  1.96 %"
"2020-09-13",""," 28.54 %","  3.60 %","","","  2.39 %","","","","  3.45 %","",""
"2020-09-14","","  9.42 %","  4.36 %","","","  2.99 %","","","","  2.46 %","",""
"2020-09-15",""," 11.51 %","  4.58 %","  7.01 %","","  3.60 %","  7.19 %","  8.67 %","","  2.07 %","  3.25 %",""
"2020-09-16","   .39 %"," 10.60 %","  4.44 %","  3.53 %","","  4.04 %","  6.45 %",""," 66.67 %","  1.63 %","","  2.23 %"
"2020-09-17","   .77 %"," 11.80 %","  4.08 %","  2.79 %","","  3.61 %","","  7.42 %"," 66.67 %","  1.42 %","  1.54 %","  2.20 %"
"2020-09-19",""," 11.64 %","  3.96 %","","","  3.25 %","  3.59 %","  8.16 %","","  1.55 %","  2.03 %",""
"2020-09-20","","","  3.44 %","","","  3.25 %","","  9.25 %","","  1.74 %","","  2.17 %"
"2020-09-21",""," 11.42 %","  3.22 %","  3.41 %","","  1.88 %","","  6.25 %","","  1.81 %","  1.98 %",""
"2020-09-22","  1.14 %","  5.15 %","  2.89 %","   .66 %","","   .02 %","  2.44 %","  8.61 %"," 64.17 %","  1.89 %","  1.00 %","   .07 %"
"2020-09-23","","  2.58 %","  2.86 %","  3.14 %","","  1.55 %","   .01 %","  6.11 %","","  1.63 %","  1.93 %",""
"2020-09-24","  1.32 %","","  2.86 %","  6.93 %","","  1.58 %","","  5.92 %"," 47.02 %","  1.19 %","  1.93 %","   .38 %"
"2020-09-25","","   .64 %","  2.58 %"," 11.02 %","","   .94 %","  -.53 %","  4.86 %","","  1.57 %","  1.88 %",""
"2020-09-26","  2.22 %","   .64 %","  2.36 %"," 11.90 %","","   .99 %","  -.53 %","  4.86 %","  7.02 %","  1.34 %","  1.84 %","  -.23 %"
"2020-09-27","  2.03 %","   .64 %","  2.28 %"," 12.86 %","","  2.41 %","   .01 %","  2.66 %","","  1.52 %","","  -.23 %"
"2020-09-28","","   .32 %","  1.78 %","  8.36 %","","   .54 %","  1.07 %","  4.13 %","","  1.68 %","","  -.52 %"
"2020-09-29","  1.82 %","   .19 %","  1.46 %","","","   .39 %","","  4.48 %","","  2.57 %","  4.01 %",""
"2020-09-30","  1.62 %","","  1.83 %","  4.94 %","","  1.15 %","","  8.18 %","  2.86 %","  2.76 %","","  1.23 %"
"2020-10-01","","   .31 %","  2.11 %","","","  3.68 %","  1.58 %","","  5.08 %","  2.95 %","  4.15 %",""
"2020-10-02","  1.60 %","  1.06 %","  2.69 %","","","  3.97 %","  4.58 %"," 11.34 %","","  2.71 %","","  1.48 %"
"2020-10-03","   .85 %","  1.71 %","  4.16 %","  3.03 %","","  5.02 %",""," 10.31 %"," 27.58 %","  2.87 %","  6.33 %",""
"2020-10-04","","  1.71 %","  4.44 %","  1.85 %","","  6.59 %","  5.01 %"," 10.67 %"," 26.72 %","  2.13 %","  8.51 %",""
"2020-10-05","","  2.22 %","  3.96 %","","","  7.62 %",""," 10.04 %"," 27.63 %","  1.47 %","  8.66 %","  1.48 %"
"2020-10-06","  1.18 %","  2.37 %","  4.38 %","  2.47 %","","  5.65 %","","  7.17 %"," 26.00 %","  1.76 %","  9.77 %","  1.46 %"
"2020-10-07","  1.66 %","  1.68 %","  3.71 %","  4.16 %","","  6.39 %","  5.75 %","","","  1.78 %","  8.70 %",""
"2020-10-08","  1.64 %","  1.08 %","  2.30 %","  4.69 %","","  4.57 %"," 10.82 %",""," 28.78 %","  1.47 %","  7.24 %","  1.74 %"
"2020-10-09","  1.47 %","  1.19 %","  2.10 %","  3.67 %","","  3.20 %"," 11.87 %","  4.01 %","","  1.47 %","",""
"2020-10-10","  1.29 %","   .61 %","  2.28 %","  3.62 %","","  2.24 %","  9.74 %","  4.51 %"," 14.11 %","  1.51 %","  8.80 %","  1.72 %"
"2020-10-11","  2.36 %","   .27 %","  1.70 %","","","  2.35 %","  9.59 %","  3.67 %"," 14.74 %","  1.26 %","  8.41 %","  1.37 %"
"2020-10-12","  1.56 %","   .27 %","  1.58 %","  2.65 %","","  1.33 %","","  3.39 %"," 13.83 %","  1.25 %"," 10.55 %",""
"2020-10-13","  1.41 %","   .27 %","  1.42 %","  2.88 %","","  2.09 %","  8.86 %","  1.71 %","","  1.30 %"," 10.21 %",""
"2020-10-14","  2.28 %","   .22 %","  1.44 %","  2.50 %","","  2.09 %","  3.52 %","  1.94 %"," 13.43 %","  1.54 %","  9.48 %","  1.64 %"
"2020-10-15","  2.83 %","   .43 %","  1.57 %","  1.60 %","","  1.29 %","  3.01 %","","  8.43 %","  1.90 %","  5.90 %",""
"2020-10-16","  2.38 %","   .80 %","  1.54 %","  1.58 %","","  1.14 %","  2.65 %","  1.44 %","  3.10 %","  1.76 %","  6.59 %","  4.47 %"
"2020-10-17","","   .70 %","  1.54 %","","","  1.19 %","","   .69 %","   .92 %","  1.74 %","  1.64 %"," 10.94 %"
"2020-10-18","  4.84 %","   .69 %","  1.59 %","  1.83 %","","  1.26 %","  2.37 %","  1.14 %","   .92 %","  1.79 %","  1.49 %",""
"2020-10-19","","   .69 %","  1.22 %","","","  1.09 %","","   .91 %","","  1.35 %","  2.33 %",""
"2020-10-20","  5.19 %","   .58 %","   .83 %","  1.53 %","","   .98 %","  2.55 %","","   .90 %","  1.14 %","  2.13 %",""
"2020-10-21","  4.54 %","   .26 %","   .61 %","  1.01 %","","   .42 %","  2.75 %","   .68 %","   .90 %","  1.01 %","  1.91 %"," 10.66 %"
"2020-10-23","  3.95 %","   .31 %","   .59 %","","","   .36 %","  1.93 %","   .68 %","   .90 %","  1.19 %","  2.68 %"," 10.12 %"
"2020-10-24","  3.34 %","   .21 %","   .51 %","   .75 %","","   .21 %","","   .67 %","   .01 %","  1.18 %","  4.29 %"," 11.37 %"
"2020-10-25","  1.02 %","   .52 %","   .61 %","  1.23 %","","  2.02 %","  1.66 %","   .44 %","","  1.23 %","  3.44 %","  8.41 %"
"2020-10-26","","","   .60 %","  1.68 %","","  2.02 %","","   .65 %","   .45 %","   .99 %","  4.64 %",""
"2020-10-27","   .67 %","   .67 %","   .70 %","  1.44 %","","  2.02 %","  2.78 %","","","  1.13 %","  4.50 %","  1.67 %"
"2020-10-28","   .89 %","","   .71 %","  1.66 %","","  2.11 %","  2.05 %","   .86 %","","  1.07 %","  4.35 %",""
"2020-10-29","  1.74 %","   .71 %","   .69 %","  1.66 %","","  2.20 %","  1.79 %","  1.08 %","   .44 %","  1.10 %","  2.95 %",""
"2020-10-30","  1.51 %","   .66 %","   .64 %","  1.16 %","","   .78 %","  1.56 %","   .86 %","","  1.42 %","  3.15 %","  1.51 %"
"2020-10-31","  2.02 %","   .71 %","   .69 %","  1.34 %","","  1.12 %","  1.55 %","   .64 %","   .87 %","  1.33 %","  1.94 %",""
"2020-11-01","  2.22 %","   .55 %","   .68 %","  1.34 %","","  2.90 %","","   .84 %","","  1.43 %","  1.79 %",""
"2020-11-02","  1.88 %","   .30 %","   .59 %","  1.33 %","","  2.85 %","   .42 %","","","  1.12 %","  4.57 %",""
"2020-11-03","  1.20 %","   .59 %","   .52 %","  1.54 %","","  2.93 %","   .84 %","   .83 %","","   .96 %","  5.02 %","  2.14 %"
"2020-11-04","  1.78 %","  1.22 %","   .52 %","","","  2.44 %","","  1.02 %","","   .59 %","  5.13 %","   .78 %"
"2020-11-05","  2.86 %","  1.88 %","   .46 %","  1.52 %","","  2.18 %","","  2.21 %","   .87 %","   .74 %","  6.12 %",""
"2020-11-06","  4.82 %","  1.95 %","   .39 %","","","   .66 %","  1.04 %","  2.96 %","","   .54 %","  6.10 %",""
"2020-11-07","  4.72 %","  2.04 %","   .37 %","   .63 %","","   .79 %","  2.04 %","  2.90 %","","   .64 %","  3.97 %",""
"2020-11-08","  4.98 %","","   .53 %","","","  1.75 %","  2.78 %","  2.70 %","  1.30 %","   .72 %","  3.46 %",""
"2020-11-09","  4.68 %","  1.65 %","   .50 %","   .63 %","","  1.75 %","","  2.47 %","","   .68 %","  3.22 %",""
"2020-11-10","  3.24 %","  1.42 %","   .51 %","   .63 %","","  1.85 %","  3.50 %","  1.81 %","  1.28 %","   .69 %","  1.76 %","   .62 %"
"2020-11-11","  1.52 %","  1.24 %","   .51 %","   .82 %","","  1.70 %","  4.14 %","  1.41 %","","   .62 %","  2.07 %","   .77 %"
"2020-11-12","  2.32 %","  1.10 %","   .56 %","   .61 %","","  2.50 %","  4.23 %","  1.21 %","   .43 %","   .61 %","  1.05 %","  4.21 %"
"2020-11-13","  2.19 %","  1.09 %","   .43 %","   .61 %","","  1.64 %","  3.72 %","  1.55 %","","   .52 %","   .98 %","  3.59 %"
"2020-11-14","  1.88 %","  1.18 %","   .46 %","","","  1.79 %","  3.24 %","  1.53 %","","   .57 %","  1.04 %",""
"2020-11-15","  1.73 %","   .78 %","   .46 %","   .81 %","","  1.59 %","","  1.33 %","","   .47 %","  1.10 %","  3.69 %"
"2020-11-16","  1.28 %","   .30 %","   .44 %","   .81 %","","  1.58 %","","  1.47 %","","   .59 %","   .44 %",""
"2020-11-17","   .62 %","   .17 %","   .46 %","","","   .65 %","  2.83 %","  3.49 %","","   .76 %","   .25 %","  3.69 %"
"2020-11-18","   .34 %","   .38 %","   .52 %","   .79 %","","   .32 %","","  3.30 %","   .43 %","   .83 %","   .25 %",""
"2020-11-19","   .47 %","   .38 %","   .60 %","   .98 %","","   .20 %","  2.38 %","  3.41 %","   .43 %","  1.33 %","   .12 %","  3.67 %"
"2020-11-20","   .61 %","   .54 %","   .82 %","   .98 %","","   .22 %","  3.07 %","  3.23 %","   .43 %","  2.14 %","",""
"2020-11-21","   .67 %","   .62 %","   .92 %","   .78 %","","   .13 %","  3.70 %","  3.29 %","","  2.58 %","   .12 %","   .51 %"
"2020-11-22","   .60 %","   .66 %","   .91 %","   .77 %","","   .15 %","  3.89 %","  1.64 %","","  2.43 %","   .19 %",""
"2020-11-23","","","   .82 %","","","   .30 %","  6.14 %","  1.63 %","","  2.35 %","",""
"2020-11-24","   .60 %","   .37 %","   .75 %","   .57 %","","   .25 %","  5.98 %","  1.99 %","","  1.86 %","   .31 %",""
"2020-11-25","   .40 %","   .33 %","   .53 %","","","   .30 %","","  1.98 %","","  1.21 %","   .74 %","   .63 %"
"2020-11-26","   .26 %","","   .52 %","   .38 %","","   .34 %","","  1.68 %","","   .69 %","   .80 %",""
"2020-11-27","   .33 %","   .16 %","   .49 %","   .38 %","","   .31 %","  4.80 %","  1.76 %","","   .69 %","",""
"2020-11-28","   .26 %","   .08 %","   .58 %","   .75 %","","   .21 %","","  1.63 %","","   .72 %","   .98 %","   .50 %"
"2020-11-29","   .13 %","   .04 %","   .57 %","","","   .23 %","  3.79 %","   .99 %","","   .65 %","   .97 %",""
"2020-11-30","   .13 %","   .20 %","   .64 %","","","   .23 %","  3.24 %","   .74 %","","   .49 %","","  1.00 %"
"2020-12-01","  1.17 %","   .16 %","   .59 %","","","   .16 %","   .68 %","   .97 %","   .82 %","   .44 %","   .85 %",""
"2020-12-26","  1.04 %","","   .49 %","","","","   .22 %","   .48 %","","   .31 %","   .36 %",""
"2020-12-27","","","   .35 %","   .56 %","","   .15 %","","   .48 %","","   .19 %","",""
"2020-12-28","  1.10 %","","   .28 %","","","","","   .48 %","","","",""
"2020-12-29","","","   .14 %","   .56 %","","   .10 %","","","","   .15 %","   .30 %",""
"2020-12-30","","","   .09 %","   .56 %","","   .06 %","   .22 %","   .71 %","","   .13 %","   .18 %",""
"2021-01-02","","","   .19 %","","","   .02 %","   .11 %","","","   .08 %","","   .87 %"
"2021-01-03","","","   .20 %","","","","","   .23 %","","   .08 %","   .18 %",""
"2021-01-04","","   .24 %","   .25 %","","","","","","","","   .23 %",""
"2021-01-05","","","   .35 %","","","   .02 %","   .11 %","","","   .08 %","   .29 %",""
"2021-01-06","","","   .34 %","","","   .03 %","","   .12 %","","   .06 %","   .64 %",""
"2021-01-07","  1.10 %","","   .25 %","   .74 %","","   .03 %","","","","","   .64 %","   .86 %"
"2021-01-08","","   .36 %","   .28 %","   .55 %","","","   .22 %","","","   .03 %","",""
"2021-01-09","","   .28 %","   .29 %","   .72 %","","","   .11 %","","","   .00 %","  1.38 %",""
"2021-01-10","","","   .21 %","","","","","","","   .01 %","  1.37 %",""
"2021-01-11","","   .16 %","   .23 %","","","","","","","   .01 %","  1.36 %","   .86 %"
"2021-01-12","","   .20 %","   .25 %","","","   .06 %","","","","   .01 %","",""
"2021-01-13","","","   .23 %","","","","","","","","  1.29 %",""
"2021-01-14","","   .64 %","   .18 %","","","","","","","   .03 %","  1.23 %",""
"2021-01-15","","","   .15 %","","","","","","","","   .49 %",""
"2021-01-16","","","   .11 %","   .54 %","","","","","","","",""
"2021-01-17","","   .56 %","   .09 %","","","   .05 %","   .11 %","","","   .03 %","   .38 %",""
"2021-01-18","","   .64 %","   .06 %","","","   .06 %","","","","","",""
"2021-01-19","","   .60 %","   .05 %","","","","","","","","   .32 %",""
"2021-01-20","","","   .06 %","","","","","","","   .03 %","",""
"2021-01-21","","   .63 %","   .06 %","","","","","","","","   .05 %",""
"2021-01-22","","","   .04 %","","","   .05 %","","","","","","   .73 %"
"2021-01-23","","   .12 %","   .04 %","","","","","   .23 %","","","   .05 %",""
"2021-01-24","","   .08 %","   .04 %","","","   .08 %","","","","   .03 %","",""
"2021-01-25","","   .08 %","   .03 %","   .54 %","","","","","","","   .00 %",""
"2021-01-26","","   .08 %","   .04 %","   .36 %","","   .06 %","","","","","","   .36 %"
"2021-01-27","","","   .04 %","   .18 %","","","","","","","",""
"2021-01-28","","","   .05 %","","","","","","","","","   .36 %"
"2021-01-29","","","   .05 %","","","   .08 %","","","","","   .05 %",""
"2021-01-30","","   .00 %","   .06 %","","","","","","","   .03 %","",""
"2021-01-31","","","   .05 %","","","   .08 %","","","","","   .11 %","   .36 %"
"2021-02-01","","","   .05 %","","","","","","","","",""
"2021-02-02","","   .04 %","   .03 %","","","   .06 %","","","","","","   .47 %"
"2021-02-03","","","   .04 %","","","   .03 %","","   .23 %","","","",""
"2021-02-04","","","   .07 %","","","","","   .23 %","","","",""
"2021-02-05","","   .12 %","   .08 %","","","   .30 %","","   .12 %","","   .03 %","   .27 %",""
"2021-02-06","","","   .15 %","","","","","","","","",""
"2021-02-07","","","   .21 %","","","   .34 %","","","","","   .84 %",""
"2021-02-08","","","   .20 %","","","","","","","","",""
"2021-02-09","","","   .15 %","","","   .34 %","","","","","  1.15 %","   .47 %"
"2021-02-10","","   .15 %","   .19 %","","","","","","","","  1.55 %",""
"2021-02-11","","","   .15 %","","","   .35 %","","","","","  1.50 %","   .35 %"
"2021-02-12","","","   .08 %","","","","","","","","",""
"2021-02-13","","","   .09 %","","","","","","","","",""
"2021-02-14","","","   .10 %","","","   .35 %","","","","","  1.39 %",""
"2021-02-15","","   .15 %","   .05 %","","","   .06 %","","","","","",""
"2021-02-16","","   .19 %","   .03 %","","","   .02 %","","","","   .03 %","   .81 %","   .35 %"
"2021-02-17","","","   .03 %","","","","","","","","","   .35 %"
"2021-02-18","","","   .02 %","","","   .00 %","","","","","   .50 %",""
"2021-02-19","","","   .02 %","","","","","","","","",""
"2021-02-20","","   .15 %","   .02 %","","","","","","","","   .05 %","   .12 %"
"2021-02-21","","","   .02 %","","","","","","","","",""
"2021-02-22","","","   .02 %","","","","","","","","",""
"2021-02-23","","","   .02 %","","","","","   .23 %","","","   .05 %",""
"2021-02-24","","   .11 %","   .01 %","","","","","","","","",""
"2021-02-25","","","   .02 %","","","","","","","   .03 %","",""
"2021-02-26","","   .08 %","","","","","","","","","",""
"2021-02-27","","   .11 %","   .01 %","","","","","","","","","   .12 %"
"2021-02-28","","","   .01 %","","","","","","","","",""
"2021-03-01","","","   .01 %","","","","","","","","",""
"2021-03-02","","","   .02 %","","","","","","","","",""
"2021-03-03","","","   .01 %","","","","","","","","",""
"2021-03-04","","","   .01 %","","","","","","","","",""
"2021-03-05","","","   .02 %","","","","","","","","",""
"2021-03-07","","   .08 %","   .02 %","","","   .02 %","","   .12 %","","   .04 %","",""
"2021-03-08","","","   .01 %","","","","","","","   .04 %","",""
"2021-03-09","","","   .02 %","","","   .03 %","","","","   .04 %","",""
"2021-03-10","","","   .03 %","","","","","","","","",""
"2021-03-11","","","   .03 %","","","","","","","","",""
"2021-03-12","","","   .03 %","","","","","","","   .05 %","",""
"2021-03-13","","","   .03 %","","","   .09 %","","","","","",""
"2021-03-14","","","   .04 %","","","   .11 %","","","","","",""
"2021-03-16","","","   .03 %","","","   .11 %","","","","","",""
"2021-03-17","","","   .03 %","","","   .11 %","","","","","",""
"2021-03-18","","","   .03 %","","","   .11 %","","","","   .04 %","",""
"2021-03-19","","","   .03 %","","","   .05 %","","","","   .03 %","",""
"2021-03-20","","","   .03 %","","","","","","","","",""
"2021-03-22","","","   .04 %","","","   .03 %","","","","","",""
"2021-03-23","","","   .04 %","","","   .03 %","","","","   .03 %","",""
"2021-03-24","","","   .03 %","","","   .03 %","","","","","",""
"2021-03-25","","","   .03 %","","","   .03 %","","","","","",""
"2021-03-26","","","   .03 %","","","   .06 %","","","","","",""
"2021-03-27","","","   .03 %","","","","","","","","",""
"2021-03-28","","","   .03 %","","","   .06 %","","","","","",""
"2021-03-29","","","   .03 %","","","   .06 %","","","","","","   .23 %"
"2021-03-30","","","   .03 %","","","","","","","   .28 %","","   .12 %"
"2021-03-31","","","   .03 %","","","   .08 %","","","","   .28 %","",""
"2021-04-01","","","   .03 %","","","","","","","","",""
"2021-04-02","","","   .06 %","","","","","","","   .29 %","","   .12 %"
"2021-04-03","","","   .12 %","","","","","","","","",""
"2021-04-04","","","   .15 %","","","   .11 %","","","","   .31 %","",""
"2021-04-05","","","   .13 %","","","   .12 %","","","","","",""
"2021-04-06","","   .11 %","   .15 %","","","   .12 %","","","","","",""
"2021-04-07","","","   .12 %","","","   .16 %","","","","","",""
"2021-04-08","","   .15 %","   .11 %","","","   .14 %","","","","   .31 %","   .05 %","   .23 %"
"2021-04-09","","   .19 %","   .17 %","","","   .12 %","","","","   .09 %","   .15 %",""
"2021-04-10","","","   .26 %","","","   .11 %","","","  1.63 %","","   .29 %",""
"2021-04-11","","   .19 %","   .30 %","","","   .12 %","","","","   .07 %","",""
"2021-04-12","","   .15 %","   .32 %","","","","","","","","  1.17 %","   .23 %"
"2021-04-13","","   .15 %","   .47 %","","","   .15 %","","","","   .06 %","  1.30 %","   .23 %"
"2021-04-14","","   .15 %","   .52 %","","","   .23 %","","","","   .05 %","  2.59 %","   .69 %"
