"date","Meghalaya/East Garo Hills","Meghalaya/East Jaintia Hills","Meghalaya/East Khasi Hills","Meghalaya/North Garo Hills","Meghalaya/Ribhoi","Meghalaya/South Garo Hills","Meghalaya/South West Garo Hills","Meghalaya/South West Khasi Hills","Meghalaya/West Garo Hills","Meghalaya/West Jaintia Hills","Meghalaya/West Khasi Hills"
"2020-07-25",""," 63.33 %","  6.82 %","","","","","",""," 24.87 %",""
"2020-07-26",""," 73.33 %","  7.54 %",""," 11.23 %","","","",""," 26.30 %",""
"2020-07-27",""," 56.00 %","  7.00 %"," 23.33 %"," 22.49 %","","  4.90 %",""," 16.14 %","",""
"2020-07-28","","","  7.62 %","","","","",""," 11.94 %"," 26.30 %"," 61.67 %"
"2020-07-29","","","  5.43 %"," 23.33 %"," 22.15 %","","","","  9.48 %","",""
"2020-07-30","","","  3.63 %","","","","",""," 10.91 %"," 14.08 %",""
"2020-07-31","","","  2.83 %",""," 18.26 %"," 21.67 %","","","","",""
"2020-08-01",""," 37.18 %","  3.21 %",""," 18.93 %","","","","  8.24 %","  9.13 %"," 66.67 %"
"2020-08-02",""," 28.29 %","  2.35 %",""," 15.62 %","","","","","",""
"2020-08-03","","","  2.89 %","","  2.81 %","","","","","  9.59 %",""
"2020-08-04","","","  2.66 %","","  2.78 %","","  4.90 %","","  3.14 %",""," 94.67 %"
"2020-08-05","","","  2.58 %","","  2.78 %","","  9.90 %","","  3.03 %","",""
"2020-08-06","","","  2.24 %","","  5.83 %","","",""," 10.83 %","  9.07 %",""
"2020-08-07",""," 16.01 %","  2.15 %","","  5.30 %","","","","  9.85 %","  5.07 %"," 36.33 %"
"2020-08-08","","","  1.85 %"," 43.33 %","  4.25 %","","",""," 10.52 %","  3.96 %",""
"2020-08-09","","  6.01 %","  2.09 %","","  7.31 %","","","","","",""
"2020-08-10","","","  1.86 %","","  7.59 %","","",""," 28.06 %","",""
"2020-08-11","","","  1.60 %"," 33.33 %","  4.97 %","","",""," 28.98 %","  3.78 %"," 41.33 %"
"2020-08-12","","  4.34 %","  1.87 %"," 26.67 %","  4.77 %"," 25.67 %","",""," 21.77 %",""," 34.67 %"
"2020-08-13","","","  1.86 %"," 36.19 %","  4.77 %","","","","","",""
"2020-08-14","","  3.16 %","  1.70 %","","","","  9.05 %",""," 25.17 %","",""
"2020-08-15","","","  1.84 %"," 41.19 %","  2.68 %"," 15.67 %","",""," 29.32 %","  1.78 %",""
"2020-08-16","","","  2.10 %","","  4.12 %","","",""," 19.14 %","   .87 %",""
"2020-08-17","","  3.01 %","  2.42 %","","","","",""," 17.82 %","   .87 %",""
"2020-08-18","","  2.86 %","  2.68 %","","  3.36 %","","  3.36 %",""," 16.37 %","",""
"2020-08-19","","  4.60 %","  3.36 %"," 25.19 %","  3.23 %","","",""," 14.84 %","",""
"2020-08-20","","","  5.00 %","","  3.89 %","","",""," 10.35 %","  1.70 %",""
"2020-08-21","","","  5.13 %","","  2.83 %","","","","  4.51 %","  1.63 %"," 55.82 %"
"2020-08-22","","  6.80 %","  5.38 %"," 18.52 %","  1.33 %","","","","  4.92 %","  1.63 %"," 34.49 %"
"2020-08-23","","  8.87 %","  5.86 %"," 16.62 %","  1.31 %"," 49.00 %","","","  4.93 %",""," 40.82 %"
"2020-08-24","","  7.92 %","  5.70 %","","  1.72 %","","","","","  1.63 %"," 40.82 %"
"2020-08-25","","","  4.08 %"," 15.10 %","  1.36 %","","","","  3.05 %","  2.40 %",""
"2020-08-26"," 85.00 %","","  3.96 %","","  -.35 %","","  8.82 %","","  2.56 %","",""
"2020-08-27"," ##.## %","","  3.25 %"," 11.35 %","  -.57 %"," 43.58 %"," 12.15 %","","  3.64 %","  1.57 %",""
"2020-08-28"," ##.## %","  8.88 %","  2.85 %"," 10.87 %","  -.67 %","","","","  4.44 %",""," 41.18 %"
"2020-08-29","","","  2.34 %","  7.54 %"," -1.08 %"," 40.94 %","","","  4.68 %","",""
"2020-08-30"," ##.## %","  9.43 %","  2.29 %","","  -.74 %"," 37.99 %","  7.15 %","","  4.76 %","",""
"2020-08-31","","  8.28 %","  2.01 %","  5.11 %","   .97 %","","  6.58 %","","  4.55 %",""," 15.37 %"
"2020-09-01"," ##.## %","","  2.28 %","","  1.49 %"," 39.99 %","","","  3.61 %","",""
"2020-09-02"," 61.50 %"," 10.40 %","  2.15 %","","  2.90 %","  9.38 %","","","  2.44 %","",""
"2020-09-03","","","  2.74 %","  3.78 %","  4.12 %","  9.73 %","","","  2.33 %","  1.51 %","  8.71 %"
"2020-09-04",""," 11.94 %","  2.83 %","  4.63 %","  5.86 %","  8.12 %","","","  3.06 %","  5.80 %","   .71 %"
"2020-09-05"," 23.41 %","","  4.02 %","  3.01 %","  8.21 %","","","","  3.36 %","","  1.05 %"
"2020-09-06",""," 11.13 %","  3.69 %","  6.49 %","  7.76 %","  9.93 %","  6.10 %","","  4.86 %","  6.38 %",""
"2020-09-07","  7.60 %","  9.53 %","  3.23 %","  8.23 %","  6.34 %","  8.55 %","","","  5.05 %","  7.33 %","  1.03 %"
"2020-09-08","  5.10 %","","  2.55 %","","  5.19 %","","  9.85 %","","  4.79 %","  7.33 %",""
"2020-09-09","  4.11 %"," 26.82 %","  2.36 %","  8.23 %","  2.94 %","  8.25 %","  6.51 %","","  4.58 %","","  1.02 %"
"2020-09-10",""," 27.13 %","  1.39 %","","  1.24 %","","  7.56 %","","  4.69 %","  7.11 %","  1.35 %"
"2020-09-11","  3.64 %"," 29.27 %","  1.99 %","  8.27 %","  1.17 %","","  9.14 %","","  3.44 %","  3.34 %","  1.99 %"
"2020-09-12","   .39 %"," 29.00 %","  3.10 %","","  1.89 %","","","","  3.54 %","","  1.96 %"
"2020-09-13",""," 28.54 %","  3.60 %","","  2.39 %","","","","  3.45 %","",""
"2020-09-14","","  9.42 %","  4.36 %","","  2.99 %","","","","  2.46 %","",""
"2020-09-15",""," 11.51 %","  4.58 %","  7.01 %","  3.60 %","  7.19 %","  8.67 %","","  2.07 %","  3.25 %",""
"2020-09-16","   .39 %"," 10.60 %","  4.44 %","  3.53 %","  4.04 %","  6.45 %",""," 66.67 %","  1.63 %","","  2.23 %"
"2020-09-17","   .77 %"," 11.80 %","  4.08 %","  2.79 %","  3.61 %","","  7.42 %"," 66.67 %","  1.42 %","  1.54 %","  2.20 %"
"2020-09-19",""," 11.64 %","  3.96 %","","  3.25 %","  3.59 %","  8.16 %","","  1.55 %","  2.03 %",""
"2020-09-20","","","  3.44 %","","  3.25 %","","  9.25 %","","  1.74 %","","  2.17 %"
"2020-09-21",""," 11.42 %","  3.22 %","  3.41 %","  1.88 %","","  6.25 %","","  1.81 %","  1.98 %",""
"2020-09-22","  1.14 %","  5.15 %","  2.89 %","   .66 %","   .02 %","  2.44 %","  8.61 %"," 64.17 %","  1.89 %","  1.00 %","   .07 %"
"2020-09-23","","  2.58 %","  2.86 %","  3.14 %","  1.55 %","   .01 %","  6.11 %","","  1.63 %","  1.93 %",""
"2020-09-24","  1.32 %","","  2.86 %","  6.93 %","  1.58 %","","  5.92 %"," 47.02 %","  1.19 %","  1.93 %","   .38 %"
"2020-09-25","","   .64 %","  2.58 %"," 11.02 %","   .94 %","  -.53 %","  4.86 %","","  1.57 %","  1.88 %",""
"2020-09-26","  2.22 %","   .64 %","  2.36 %"," 11.90 %","   .99 %","  -.53 %","  4.86 %","  7.02 %","  1.34 %","  1.84 %","  -.23 %"
"2020-09-27","  2.03 %","   .64 %","  2.28 %"," 12.86 %","  2.41 %","   .01 %","  2.66 %","","  1.52 %","","  -.23 %"
"2020-09-28","","   .32 %","  1.78 %","  8.36 %","   .54 %","  1.07 %","  4.13 %","","  1.68 %","","  -.52 %"
"2020-09-29","  1.82 %","   .19 %","  1.46 %","","   .39 %","","  4.48 %","","  2.57 %","  4.01 %",""
"2020-09-30","  1.62 %","","  1.83 %","  4.94 %","  1.15 %","","  8.18 %","  2.86 %","  2.76 %","","  1.23 %"
"2020-10-01","","   .31 %","  2.11 %","","  3.68 %","  1.58 %","","  5.08 %","  2.95 %","  4.15 %",""
"2020-10-02","  1.60 %","  1.06 %","  2.69 %","","  3.97 %","  4.58 %"," 11.34 %","","  2.71 %","","  1.48 %"
"2020-10-03","   .85 %","  1.71 %","  4.16 %","  3.03 %","  5.02 %",""," 10.31 %"," 27.58 %","  2.87 %","  6.33 %",""
"2020-10-04","","  1.71 %","  4.44 %","  1.85 %","  6.59 %","  5.01 %"," 10.67 %"," 26.72 %","  2.13 %","  8.51 %",""
"2020-10-05","","  2.22 %","  3.96 %","","  7.62 %",""," 10.04 %"," 27.63 %","  1.47 %","  8.66 %","  1.48 %"
"2020-10-06","  1.18 %","  2.37 %","  4.38 %","  2.47 %","  5.65 %","","  7.17 %"," 26.00 %","  1.76 %","  9.77 %","  1.46 %"
"2020-10-07","  1.66 %","  1.68 %","  3.71 %","  4.16 %","  6.39 %","  5.75 %","","","  1.78 %","  8.70 %",""
"2020-10-08","  1.64 %","  1.08 %","  2.30 %","  4.69 %","  4.57 %"," 10.82 %",""," 28.78 %","  1.47 %","  7.24 %","  1.74 %"
"2020-10-09","  1.47 %","  1.19 %","  2.10 %","  3.67 %","  3.20 %"," 11.87 %","  4.01 %","","  1.47 %","",""
"2020-10-10","  1.29 %","   .61 %","  2.28 %","  3.62 %","  2.24 %","  9.74 %","  4.51 %"," 14.11 %","  1.51 %","  8.80 %","  1.72 %"
"2020-10-11","  2.36 %","   .27 %","  1.70 %","","  2.35 %","  9.59 %","  3.67 %"," 14.74 %","  1.26 %","  8.41 %","  1.37 %"
"2020-10-12","  1.56 %","   .27 %","  1.58 %","  2.65 %","  1.33 %","","  3.39 %"," 13.83 %","  1.25 %"," 10.55 %",""
"2020-10-13","  1.41 %","   .27 %","  1.42 %","  2.88 %","  2.09 %","  8.86 %","  1.71 %","","  1.30 %"," 10.21 %",""
"2020-10-14","  2.28 %","   .22 %","  1.44 %","  2.50 %","  2.09 %","  3.52 %","  1.94 %"," 13.43 %","  1.54 %","  9.48 %","  1.64 %"
"2020-10-15","  2.83 %","   .43 %","  1.57 %","  1.60 %","  1.29 %","  3.01 %","","  8.43 %","  1.90 %","  5.90 %",""
"2020-10-16","  2.38 %","   .80 %","  1.54 %","  1.58 %","  1.14 %","  2.65 %","  1.44 %","  3.10 %","  1.76 %","  6.59 %","  4.47 %"
"2020-10-17","","   .70 %","  1.54 %","","  1.19 %","","   .69 %","   .92 %","  1.74 %","  1.64 %"," 10.94 %"
"2020-10-18","  4.84 %","   .69 %","  1.59 %","  1.83 %","  1.26 %","  2.37 %","  1.14 %","   .92 %","  1.79 %","  1.49 %",""
"2020-10-19","","   .69 %","  1.22 %","","  1.09 %","","   .91 %","","  1.35 %","  2.33 %",""
"2020-10-20","  5.19 %","   .58 %","   .83 %","  1.53 %","   .98 %","  2.55 %","","   .90 %","  1.14 %","  2.13 %",""
"2020-10-21","  4.54 %","   .26 %","   .61 %","  1.01 %","   .42 %","  2.75 %","   .68 %","   .90 %","  1.01 %","  1.91 %"," 10.66 %"
"2020-10-23","  3.95 %","   .31 %","   .59 %","","   .36 %","  1.93 %","   .68 %","   .90 %","  1.19 %","  2.68 %"," 10.12 %"
"2020-10-24","  3.34 %","   .21 %","   .51 %","   .75 %","   .21 %","","   .67 %","   .01 %","  1.18 %","  4.29 %"," 11.37 %"
"2020-10-25","  1.02 %","   .52 %","   .61 %","  1.23 %","  2.02 %","  1.66 %","   .44 %","","  1.23 %","  3.44 %","  8.41 %"
"2020-10-26","","","   .60 %","  1.68 %","  2.02 %","","   .65 %","   .45 %","   .99 %","  4.64 %",""
"2020-10-27","   .67 %","   .67 %","   .70 %","  1.44 %","  2.02 %","  2.78 %","","","  1.13 %","  4.50 %","  1.67 %"
